dataset,field,old,new,kind
BO14HTI02,jcpMeasured::d18O,,8.851,added
BO14HTI02,jcpUsed::d18O,,1,added
BO14HTI02,datum::d18O,,0,added
BO14HTI02,coralExtensionRate::d18O,,7.35,added
BO14HTI02,coralExtensionRateNotes::d18O,,7.35 mm/year,added
BO14HTI02,createdBy::d18O,,CoralHydro2k,added
BO14HTI02,variableType::Sr/Ca,,measured,added
BO14HTI02,proxy::Sr/Ca,,Sr/Ca,added
BO14HTI02,jcpCorrected::Sr/Ca,,0,added
BO14HTI02,jcpMeasured::Sr/Ca,,8.851,added
BO14HTI02,jcpUsed::Sr/Ca,,1,added
BO14HTI02,datum::Sr/Ca,,0,added
BO14HTI02,coralExtensionRate::Sr/Ca,,7.35,added
BO14HTI02,coralExtensionRateNotes::Sr/Ca,,7.35 mm/year,added
BO14HTI02,createdBy::Sr/Ca,,CoralHydro2k,added
BO99MOO01,pub1_citation,"Boiseau, M., Ghil, M. and Juillet-Leclerc, A. 1999. Climatic trends and interdecadal varia","Boiseau, M., Ghil, M. and Juillet-Leclerc, A. 1999. Climatic trends and interdecadal varia",changed
BO99MOO01,number::d18O,1,2,changed
BO99MOO01,number::year,2,1,changed
BO99MOO01,createdBy::year,,CoralHydro2k,added
BO99MOO01,variableType::d18O,,measured,added
BO99MOO01,proxy::d18O,,d18O,added
BO99MOO01,jcpCorrected::d18O,,0,added
BO99MOO01,jcpUsed::d18O,,0,added
BO99MOO01,datum::d18O,,0,added
BO99MOO01,createdBy::d18O,,CoralHydro2k,added
BR19RED01,pub1_citation,"Bryan, S. P., Hughen, K. A., Karnauskas, K. B. and Farrar, J. T. 2019. Two Hundred Fifty Y","Bryan, S. P., Hughen, K. A., Karnauskas, K. B. and Farrar, J. T. 2019. Two Hundred Fifty Y",changed
BR19RED01,pub1_firstauthor,"Bryan, S. P. ","Bryan, S. P.",changed
BR19RED01,pub1_title,Two Hundred Fifty Years of Reconstructed South Asian Summer Monsoon Intensity and DecadalS,Two Hundred Fifty Years of Reconstructed South Asian Summer Monsoon Intensity and Decadal‐,changed
BR19RED01,number::Sr/Ca,1,2,changed
BR19RED01,number::year,2,1,changed
BR19RED01,createdBy::year,,CoralHydro2k,added
BR19RED01,variableType::Sr/Ca,,measured,added
BR19RED01,proxy::Sr/Ca,,Sr/Ca,added
BR19RED01,datum::Sr/Ca,,0,added
BR19RED01,createdBy::Sr/Ca,,CoralHydro2k,added
CA07FLI01,number::d18O,1,2,changed
CA07FLI01,measurementTableName::year,measurementTable2,measurementTable1,changed
CA07FLI01,TSid::year,R5D1FzMF3jGO4mFc9,RBoVCcyNpdxxSVLsd,changed
CA07FLI01,hasTimeTsid::year,R5D1FzMF3jGO4mFc9,RBoVCcyNpdxxSVLsd,changed
CA07FLI01,number::year,2,1,changed
CA07FLI01,number::Sr/Ca,1,3,changed
CA07FLI01,createdBy::year,,CoralHydro2k,added
CA07FLI01,variableType::d18O,,measured,added
CA07FLI01,proxy::d18O,,d18O,added
CA07FLI01,jcpCorrected::d18O,,0,added
CA07FLI01,jcpUsed::d18O,,0,added
CA07FLI01,datum::d18O,,0,added
CA07FLI01,coralExtensionRate::d18O,,14,added
CA07FLI01,coralExtensionRateNotes::d18O,,12 to 16 mm/yr,added
CA07FLI01,createdBy::d18O,,CoralHydro2k,added
CA07FLI01,variableType::Sr/Ca,,measured,added
CA07FLI01,proxy::Sr/Ca,,Sr/Ca,added
CA07FLI01,jcpCorrected::Sr/Ca,,0,added
CA07FLI01,jcpUsed::Sr/Ca,,0,added
CA07FLI01,datum::Sr/Ca,,0,added
CA07FLI01,coralExtensionRate::Sr/Ca,,14,added
CA07FLI01,coralExtensionRateNotes::Sr/Ca,,12 to 16 mm/yr,added
CA07FLI01,createdBy::Sr/Ca,,CoralHydro2k,added
CA13DIA01,pub1_citation,"Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s","Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s",changed
CA13DIA01,number::d18O,1,2,changed
CA13DIA01,number::year,2,1,changed
CA13DIA01,createdBy::year,,CoralHydro2k,added
CA13DIA01,variableType::d18O,,measured,added
CA13DIA01,proxy::d18O,,d18O,added
CA13DIA01,jcpCorrected::d18O,,0,added
CA13DIA01,jcpUsed::d18O,,0,added
CA13DIA01,createdBy::d18O,,CoralHydro2k,added
CA13PEL01,pub1_citation,"Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s","Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s",changed
CA13PEL01,number::d18O,1,2,changed
CA13PEL01,number::year,2,1,changed
CA13PEL01,createdBy::year,,CoralHydro2k,added
CA13PEL01,variableType::d18O,,measured,added
CA13PEL01,proxy::d18O,,d18O,added
CA13PEL01,jcpCorrected::d18O,,0,added
CA13PEL01,jcpUsed::d18O,,0,added
CA13PEL01,createdBy::d18O,,CoralHydro2k,added
CA13SAP01,pub1_citation,"Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s","Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s",changed
CA13SAP01,number::d18O,1,2,changed
CA13SAP01,number::year,2,1,changed
CA13SAP01,createdBy::year,,CoralHydro2k,added
CA13SAP01,variableType::d18O,,measured,added
CA13SAP01,proxy::d18O,,d18O,added
CA13SAP01,jcpCorrected::d18O,,0,added
CA13SAP01,jcpUsed::d18O,,0,added
CA13SAP01,createdBy::d18O,,CoralHydro2k,added
CA13TUR01,pub1_citation,"Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s","Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D. 2013. Baseline s",changed
CA13TUR01,number::d18O,1,2,changed
CA13TUR01,number::year,2,1,changed
CA13TUR01,createdBy::year,,CoralHydro2k,added
CA13TUR01,variableType::d18O,,measured,added
CA13TUR01,proxy::d18O,,d18O,added
CA13TUR01,jcpCorrected::d18O,,0,added
CA13TUR01,jcpUsed::d18O,,0,added
CA13TUR01,createdBy::d18O,,CoralHydro2k,added
CA14BUT01,analyticalError::d18O,NA,0.04,changed
CA14BUT01,number::d18O,1,4,changed
CA14BUT01,measurementTableName::year,measurementTable3,measurementTable1,changed
CA14BUT01,TSid::year,RvEmAF623MV6ezdpj,RRKkKUnJPCQBvrpgr,changed
CA14BUT01,hasTimeTsid::year,RvEmAF623MV6ezdpj,RRKkKUnJPCQBvrpgr,changed
CA14BUT01,number::year,2,1,changed
CA14BUT01,analyticalError::Sr/Ca,0.011,0.04,changed
CA14BUT01,number::Sr/Ca,1,3,changed
CA14BUT01,createdBy::year,,CoralHydro2k,added
CA14BUT01,variableType::d18O,,measured,added
CA14BUT01,proxy::d18O,,d18O,added
CA14BUT01,jcpCorrected::d18O,,1,added
CA14BUT01,jcpMeasured::d18O,,8.811,added
CA14BUT01,jcpNotes::d18O,,"JCp-1 run with the samples, and a correction was made back to the ANSTO mean laboratory JC",added
CA14BUT01,jcpUsed::d18O,,1,added
CA14BUT01,datum::d18O,,0,added
CA14BUT01,createdBy::d18O,,CoralHydro2k,added
CA14BUT01,variableType::Sr/Ca,,measured,added
CA14BUT01,proxy::Sr/Ca,,Sr/Ca,added
CA14BUT01,jcpCorrected::Sr/Ca,,1,added
CA14BUT01,jcpMeasured::Sr/Ca,,8.811,added
CA14BUT01,jcpNotes::Sr/Ca,,"JCp-1 run with the samples, and a correction was made back to the ANSTO mean laboratory JC",added
CA14BUT01,jcpUsed::Sr/Ca,,1,added
CA14BUT01,datum::Sr/Ca,,0,added
CA14BUT01,createdBy::Sr/Ca,,CoralHydro2k,added
CA14BUT01,inferredMaterial::d18O,,sea water,added
CA14TIM01,pub1_citation,"Cahyarini, S. Y., Pfeiffer, M., Nurhati, I. S., Aldrian, E., Dullo, W.-C. and Hetzinger, S","Cahyarini, S. Y., Pfeiffer, M., Nurhati, I. S., Aldrian, E., Dullo, W.-C. and Hetzinger, S",changed
CA14TIM01,analyticalError::d18O,NA,0.06,changed
CA14TIM01,number::d18O,1,4,changed
CA14TIM01,measurementTableName::year,measurementTable3,measurementTable1,changed
CA14TIM01,TSid::year,R0UOJa9uaq3x0UuBp,R0MurSwCQVDGJnfQv,changed
CA14TIM01,hasTimeTsid::year,R0UOJa9uaq3x0UuBp,R0MurSwCQVDGJnfQv,changed
CA14TIM01,number::year,2,1,changed
CA14TIM01,analyticalError::Sr/Ca,0.15,0.06,changed
CA14TIM01,number::Sr/Ca,1,3,changed
CA14TIM01,createdBy::year,,CoralHydro2k,added
CA14TIM01,variableType::d18O,,measured,added
CA14TIM01,proxy::d18O,,d18O,added
CA14TIM01,jcpCorrected::d18O,,0,added
CA14TIM01,jcpUsed::d18O,,0,added
CA14TIM01,datum::d18O,,0,added
CA14TIM01,coralExtensionRate::d18O,,10,added
CA14TIM01,coralExtensionRateNotes::d18O,,1 +/- 0.5 cm/year,added
CA14TIM01,createdBy::d18O,,CoralHydro2k,added
CA14TIM01,variableType::Sr/Ca,,measured,added
CA14TIM01,proxy::Sr/Ca,,Sr/Ca,added
CA14TIM01,jcpCorrected::Sr/Ca,,0,added
CA14TIM01,jcpUsed::Sr/Ca,,0,added
CA14TIM01,datum::Sr/Ca,,0,added
CA14TIM01,coralExtensionRate::Sr/Ca,,10,added
CA14TIM01,coralExtensionRateNotes::Sr/Ca,,1 +/- 0.5 cm/year,added
CA14TIM01,createdBy::Sr/Ca,,CoralHydro2k,added
CA14TIM01,inferredMaterial::d18O,,sea water,added
CH03BUN01,number::d18O,1,2,changed
CH03BUN01,number::year,2,1,changed
CH03BUN01,createdBy::year,,CoralHydro2k,added
CH03BUN01,variableType::d18O,,measured,added
CH03BUN01,proxy::d18O,,d18O,added
CH03BUN01,jcpCorrected::d18O,,0,added
CH03BUN01,jcpUsed::d18O,,0,added
CH03BUN01,coralExtensionRate::d18O,,15,added
CH03BUN01,coralExtensionRateNotes::d18O,,1-2 cm/yr,added
CH03BUN01,createdBy::d18O,,CoralHydro2k,added
CH03LOM01,pub1_citation,"Charles, C. D., Cobb, K., Moore, M. D. and Fairbanks, R. G. 2001. Monsoontropical ocean in","Charles, C. D., Cobb, K., Moore, M. D. and Fairbanks, R. G. 2001. Monsoon–tropical ocean i",changed
CH03LOM01,samplingResolution::d18O,1 mm ,1 mm,changed
CH03LOM01,number::d18O,1,2,changed
CH03LOM01,number::year,2,1,changed
CH03LOM01,createdBy::year,,CoralHydro2k,added
CH03LOM01,variableType::d18O,,measured,added
CH03LOM01,proxy::d18O,,d18O,added
CH03LOM01,jcpCorrected::d18O,,0,added
CH03LOM01,jcpUsed::d18O,,0,added
CH03LOM01,coralExtensionRate::d18O,,15,added
CH03LOM01,coralExtensionRateNotes::d18O,,1-2 cm/yr,added
CH03LOM01,createdBy::d18O,,CoralHydro2k,added
CH18YOA01,pub1_citation,"Chen, T.,  Cobb, K. M.,  Roff, G.,  Zhao, J.,  Yang, H.,  Hu, M. and Zhao, K. 2018. Corald","Chen, T.,  Cobb, K. M.,  Roff, G.,  Zhao, J.,  Yang, H.,  Hu, M. and Zhao, K. 2018. Coral‐",changed
CH18YOA01,pub1_title,Coralderived western Pacific tropical sea surface temperatures during the last millennium,Coral‐derived western Pacific tropical sea surface temperatures during the last millennium,changed
CH18YOA01,number::Sr/Ca,1,2,changed
CH18YOA01,number::year,2,1,changed
CH18YOA01,dataSource,,https://agupubs.onlinelibrary.wiley.com/doi/suppl/10.1002/2018GL077619,added
CH18YOA01,createdBy::year,,CoralHydro2k,added
CH18YOA01,variableType::Sr/Ca,,measured,added
CH18YOA01,proxy::Sr/Ca,,Sr/Ca,added
CH18YOA01,jcpCorrected::Sr/Ca,,0,added
CH18YOA01,jcpUsed::Sr/Ca,,0,added
CH18YOA01,datum::Sr/Ca,,0,added
CH18YOA01,createdBy::Sr/Ca,,CoralHydro2k,added
CH18YOA02,pub1_citation,"Chen, T.,  Cobb, K. M.,  Roff, G.,  Zhao, J.,  Yang, H.,  Hu, M. and Zhao, K. 2018. Corald","Chen, T.,  Cobb, K. M.,  Roff, G.,  Zhao, J.,  Yang, H.,  Hu, M. and Zhao, K. 2018. Coral‐",changed
CH18YOA02,pub1_title,Coralderived western Pacific tropical sea surface temperatures during the last millennium,Coral‐derived western Pacific tropical sea surface temperatures during the last millennium,changed
CH18YOA02,number::Sr/Ca,1,2,changed
CH18YOA02,number::year,2,1,changed
CH18YOA02,dataSource,,https://agupubs.onlinelibrary.wiley.com/doi/suppl/10.1002/2018GL077619,added
CH18YOA02,createdBy::year,,CoralHydro2k,added
CH18YOA02,variableType::Sr/Ca,,measured,added
CH18YOA02,proxy::Sr/Ca,,Sr/Ca,added
CH18YOA02,jcpCorrected::Sr/Ca,,0,added
CH18YOA02,jcpUsed::Sr/Ca,,0,added
CH18YOA02,datum::Sr/Ca,,0,added
CH18YOA02,createdBy::Sr/Ca,,CoralHydro2k,added
CH97BVB01,pub1_citation,"Charles, C. D., Hunter, D. E. and Fairbanks, R. G. 1997. Interaction Between the ENSO and ","Charles, C. D., Hunter, D. E. and Fairbanks, R. G. 1997. Interaction Between the ENSO and ",changed
CH97BVB01,number::d18O,1,2,changed
CH97BVB01,number::year,2,1,changed
CH97BVB01,createdBy::year,,CoralHydro2k,added
CH97BVB01,variableType::d18O,,measured,added
CH97BVB01,proxy::d18O,,d18O,added
CH97BVB01,jcpCorrected::d18O,,0,added
CH97BVB01,jcpUsed::d18O,,0,added
CH97BVB01,coralExtensionRate::d18O,,14,added
CH97BVB01,coralExtensionRateNotes::d18O,,14 mm/yr,added
CH97BVB01,createdBy::d18O,,CoralHydro2k,added
CH98PIR01,number::d18O,1,2,changed
CH98PIR01,number::year,2,1,changed
CH98PIR01,createdBy::year,,CoralHydro2k,added
CH98PIR01,variableType::d18O,,measured,added
CH98PIR01,proxy::d18O,,d18O,added
CH98PIR01,jcpCorrected::d18O,,0,added
CH98PIR01,jcpUsed::d18O,,0,added
CH98PIR01,coralExtensionRate::d18O,,3.5,added
CH98PIR01,coralExtensionRateNotes::d18O,,3.5mm/yr,added
CH98PIR01,createdBy::d18O,,CoralHydro2k,added
CO00MAL01,pub1_citation,"Cole, J. E., Dunbar, R. B., McClanahan,T. R. and Muthiga, N. A. 2000. Tropical Pacific For","Cole, J. E., Dunbar, R. B., McClanahan,T. R. and Muthiga, N. A. 2000. Tropical Pacific For",changed
CO00MAL01,samplingNotes::d18O,Continous - Cut annual increments from the skeleton from top of low density band to top of,Continous - Cut annual increments from the skeleton from top of low density band to top of,changed
CO00MAL01,number::d18O,1,2,changed
CO00MAL01,number::year,2,1,changed
CO00MAL01,createdBy::year,,CoralHydro2k,added
CO00MAL01,variableType::d18O,,measured,added
CO00MAL01,proxy::d18O,,d18O,added
CO00MAL01,jcpCorrected::d18O,,0,added
CO00MAL01,jcpUsed::d18O,,0,added
CO00MAL01,coralExtensionRate::d18O,,12,added
CO00MAL01,coralExtensionRateNotes::d18O,,12 mm/yr,added
CO00MAL01,createdBy::d18O,,CoralHydro2k,added
CO03PAL01,number::d18O,1,2,changed
CO03PAL01,number::year,2,1,changed
CO03PAL01,createdBy::year,,CoralHydro2k,added
CO03PAL01,variableType::d18O,,measured,added
CO03PAL01,proxy::d18O,,d18O,added
CO03PAL01,jcpCorrected::d18O,,0,added
CO03PAL01,jcpUsed::d18O,,0,added
CO03PAL01,coralExtensionRate::d18O,,18,added
CO03PAL01,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL01,createdBy::d18O,,CoralHydro2k,added
CO03PAL02,number::d18O,1,2,changed
CO03PAL02,number::year,2,1,changed
CO03PAL02,createdBy::year,,CoralHydro2k,added
CO03PAL02,variableType::d18O,,measured,added
CO03PAL02,proxy::d18O,,d18O,added
CO03PAL02,jcpCorrected::d18O,,0,added
CO03PAL02,jcpUsed::d18O,,0,added
CO03PAL02,coralExtensionRate::d18O,,18,added
CO03PAL02,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL02,createdBy::d18O,,CoralHydro2k,added
CO03PAL03,number::d18O,1,2,changed
CO03PAL03,number::year,2,1,changed
CO03PAL03,createdBy::year,,CoralHydro2k,added
CO03PAL03,variableType::d18O,,measured,added
CO03PAL03,proxy::d18O,,d18O,added
CO03PAL03,jcpCorrected::d18O,,0,added
CO03PAL03,jcpUsed::d18O,,0,added
CO03PAL03,coralExtensionRate::d18O,,18,added
CO03PAL03,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL03,createdBy::d18O,,CoralHydro2k,added
CO03PAL04,number::d18O,1,2,changed
CO03PAL04,number::year,2,1,changed
CO03PAL04,createdBy::year,,CoralHydro2k,added
CO03PAL04,variableType::d18O,,measured,added
CO03PAL04,proxy::d18O,,d18O,added
CO03PAL04,jcpCorrected::d18O,,0,added
CO03PAL04,jcpUsed::d18O,,0,added
CO03PAL04,coralExtensionRate::d18O,,18,added
CO03PAL04,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL04,createdBy::d18O,,CoralHydro2k,added
CO03PAL05,number::d18O,1,2,changed
CO03PAL05,number::year,2,1,changed
CO03PAL05,createdBy::year,,CoralHydro2k,added
CO03PAL05,variableType::d18O,,measured,added
CO03PAL05,proxy::d18O,,d18O,added
CO03PAL05,jcpCorrected::d18O,,0,added
CO03PAL05,jcpUsed::d18O,,0,added
CO03PAL05,coralExtensionRate::d18O,,18,added
CO03PAL05,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL05,createdBy::d18O,,CoralHydro2k,added
CO03PAL06,number::d18O,1,2,changed
CO03PAL06,number::year,2,1,changed
CO03PAL06,createdBy::year,,CoralHydro2k,added
CO03PAL06,variableType::d18O,,measured,added
CO03PAL06,proxy::d18O,,d18O,added
CO03PAL06,jcpCorrected::d18O,,0,added
CO03PAL06,jcpUsed::d18O,,0,added
CO03PAL06,coralExtensionRate::d18O,,18,added
CO03PAL06,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL06,createdBy::d18O,,CoralHydro2k,added
CO03PAL07,number::d18O,1,2,changed
CO03PAL07,number::year,2,1,changed
CO03PAL07,createdBy::year,,CoralHydro2k,added
CO03PAL07,variableType::d18O,,measured,added
CO03PAL07,proxy::d18O,,d18O,added
CO03PAL07,jcpCorrected::d18O,,0,added
CO03PAL07,jcpUsed::d18O,,0,added
CO03PAL07,coralExtensionRate::d18O,,18,added
CO03PAL07,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL07,createdBy::d18O,,CoralHydro2k,added
CO03PAL08,number::d18O,1,2,changed
CO03PAL08,number::year,2,1,changed
CO03PAL08,createdBy::year,,CoralHydro2k,added
CO03PAL08,variableType::d18O,,measured,added
CO03PAL08,proxy::d18O,,d18O,added
CO03PAL08,jcpCorrected::d18O,,0,added
CO03PAL08,jcpUsed::d18O,,0,added
CO03PAL08,coralExtensionRate::d18O,,18,added
CO03PAL08,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL08,createdBy::d18O,,CoralHydro2k,added
CO03PAL09,number::d18O,1,2,changed
CO03PAL09,number::year,2,1,changed
CO03PAL09,createdBy::year,,CoralHydro2k,added
CO03PAL09,variableType::d18O,,measured,added
CO03PAL09,proxy::d18O,,d18O,added
CO03PAL09,jcpCorrected::d18O,,0,added
CO03PAL09,jcpUsed::d18O,,0,added
CO03PAL09,coralExtensionRate::d18O,,18,added
CO03PAL09,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL09,createdBy::d18O,,CoralHydro2k,added
CO03PAL10,number::d18O,1,2,changed
CO03PAL10,number::year,2,1,changed
CO03PAL10,createdBy::year,,CoralHydro2k,added
CO03PAL10,variableType::d18O,,measured,added
CO03PAL10,proxy::d18O,,d18O,added
CO03PAL10,jcpCorrected::d18O,,0,added
CO03PAL10,jcpUsed::d18O,,0,added
CO03PAL10,coralExtensionRate::d18O,,18,added
CO03PAL10,coralExtensionRateNotes::d18O,,18 mm/yr,added
CO03PAL10,createdBy::d18O,,CoralHydro2k,added
CO93TAR01,pub1_citation,"Cole, J. E., Fairbanks, R. G. and Shen, G. T. 1993. Recent Variability in the Southern Osc","Cole, J. E., Fairbanks, R. G. and Shen, G. T. 1993. Recent Variability in the Southern Osc",changed
CO93TAR01,number::d18O,1,2,changed
CO93TAR01,number::year,2,1,changed
CO93TAR01,createdBy::year,,CoralHydro2k,added
CO93TAR01,variableType::d18O,,measured,added
CO93TAR01,proxy::d18O,,d18O,added
CO93TAR01,jcpCorrected::d18O,,0,added
CO93TAR01,jcpUsed::d18O,,0,added
CO93TAR01,coralExtensionRate::d18O,,16,added
CO93TAR01,coralExtensionRateNotes::d18O,,~16 mm/yr,added
CO93TAR01,createdBy::d18O,,CoralHydro2k,added
DA06MAF01,number::d18O,1,2,changed
DA06MAF01,number::year,2,1,changed
DA06MAF01,createdBy::year,,CoralHydro2k,added
DA06MAF01,variableType::d18O,,measured,added
DA06MAF01,proxy::d18O,,d18O,added
DA06MAF01,jcpCorrected::d18O,,0,added
DA06MAF01,jcpUsed::d18O,,0,added
DA06MAF01,datum::d18O,,0,added
DA06MAF01,createdBy::d18O,,CoralHydro2k,added
DA06MAF02,number::d18O,1,2,changed
DA06MAF02,number::year,2,1,changed
DA06MAF02,createdBy::year,,CoralHydro2k,added
DA06MAF02,variableType::d18O,,measured,added
DA06MAF02,proxy::d18O,,d18O,added
DA06MAF02,jcpCorrected::d18O,,0,added
DA06MAF02,jcpUsed::d18O,,0,added
DA06MAF02,datum::d18O,,0,added
DA06MAF02,createdBy::d18O,,CoralHydro2k,added
DA18FON01,(whole dataset),,NEW RECORD,new
DE12ANC01,pub2_author,"DeLong, K. L., Quinn, T. M. and Taylor, F. W. ","DeLong, K. L., Quinn, T. M. and Taylor, F. W.",changed
DE12ANC01,pub2_title,Reconstructing twentieth-century sea surface temperature variability in the southwest Paci,Reconstructing twentieth-century sea surface temperature variability in the southwest Paci,changed
DE12ANC01,number::Sr/Ca,1,2,changed
DE12ANC01,number::year,2,1,changed
DE12ANC01,createdBy::year,,CoralHydro2k,added
DE12ANC01,variableType::Sr/Ca,,measured,added
DE12ANC01,proxy::Sr/Ca,,Sr/Ca,added
DE12ANC01,jcpCorrected::Sr/Ca,,0,added
DE12ANC01,jcpNotes::Sr/Ca,,"JCP did not exist, but laboratory standards were intercalibrated by TIMS at the University",added
DE12ANC01,jcpUsed::Sr/Ca,,0,added
DE12ANC01,datum::Sr/Ca,,0,added
DE12ANC01,coralExtensionRate::Sr/Ca,,10,added
DE12ANC01,coralExtensionRateNotes::Sr/Ca,,1 cm/year,added
DE12ANC01,coralTissueThickness::Sr/Ca,,~5 mm,added
DE12ANC01,createdBy::Sr/Ca,,CoralHydro2k,added
DE13HAI01,pub1_citation,"Deng, W., Wei, G., Xie, L., Ke, T., Wang, Z., Zeng, T. and Liu, Y. 2013. Variations in the","Deng, W., Wei, G., Xie, L., Ke, T., Wang, Z., Zeng, T. and Liu, Y. 2013. Variations in the",changed
DE13HAI01,analyticalError::d18O,NA,0.06,changed
DE13HAI01,number::d18O,1,7,changed
DE13HAI01,measurementTableName::year,measurementTable6,measurementTable1,changed
DE13HAI01,TSid::year,R520eUJApJPAjFZJF,R8rD7xoXY13yPfW0D,changed
DE13HAI01,hasTimeTsid::year,R520eUJApJPAjFZJF,R8rD7xoXY13yPfW0D,changed
DE13HAI01,number::year,2,1,changed
DE13HAI01,analyticalError::Sr/Ca,0.16,0.06,changed
DE13HAI01,number::Sr/Ca,1,6,changed
DE13HAI01,jcpCorrected::d18O,NA,0,changed
DE13HAI01,jcpUsed::d18O,NA,0,changed
DE13HAI01,dataSource,,Information is also available in the supplemental information of Xiao et al. 2017 (doi: 10,added
DE13HAI01,createdBy::year,,CoralHydro2k,added
DE13HAI01,variableType::d18O,,measured,added
DE13HAI01,proxy::d18O,,d18O,added
DE13HAI01,jcpNotes::d18O,,"used lab std, DOL-9, details referenced to Wei et al., 2007 Paleoceanography",added
DE13HAI01,datum::d18O,,0,added
DE13HAI01,createdBy::d18O,,CoralHydro2k,added
DE13HAI01,variableType::Sr/Ca,,measured,added
DE13HAI01,proxy::Sr/Ca,,Sr/Ca,added
DE13HAI01,datum::Sr/Ca,,0,added
DE13HAI01,createdBy::Sr/Ca,,CoralHydro2k,added
DE14DTO01,pub1_citation,"DeLong, K. L., Flannery, J. A., Poore, R. Z., Quinn, T. M., Maupin, C. R., Lin, K. and She","DeLong, K. L., Flannery, J. A., Poore, R. Z., Quinn, T. M., Maupin, C. R., Lin, K. and She",changed
DE14DTO01,pub1_title,A reconstruction of sea surface temperature variability in the southeastern Gulf of Mexico,A reconstruction of sea surface temperature variability in the southeastern Gulf of Mexico,changed
DE14DTO01,pub2_title,Refining temperature reconstructions with the Atlantic coral Siderastrea siderea. ,Refining temperature reconstructions with the Atlantic coral Siderastrea siderea.,changed
DE14DTO01,number::Sr/Ca,1,2,changed
DE14DTO01,number::year,2,1,changed
DE14DTO01,pub3_author,,"Flannery, J. A., Richey, J. N., Thirumalai, K., Poore, R. Z. and DeLong, K. L.",added
DE14DTO01,pub3_citation,,"Flannery, J. A., Richey, J. N., Thirumalai, K., Poore, R. Z. and DeLong, K. L. 2017. Multi",added
DE14DTO01,pub3_doi,,10.1016/j.palaeo.2016.10.022,added
DE14DTO01,pub3_firstauthor,,"Flannery, J.",added
DE14DTO01,pub3_journal,,"Palaeogeography, Palaeoclimatology, Palaeoecology",added
DE14DTO01,pub3_title,,Multi-species coral Sr/Ca based sea-surface temperature reconstruction using Orbicella fav,added
DE14DTO01,pub3_year,,2017,added
DE14DTO01,createdBy::year,,CoralHydro2k,added
DE14DTO01,variableType::Sr/Ca,,measured,added
DE14DTO01,proxy::Sr/Ca,,Sr/Ca,added
DE14DTO01,jcpCorrected::Sr/Ca,,0,added
DE14DTO01,jcpUsed::Sr/Ca,,0,added
DE14DTO01,datum::Sr/Ca,,0,added
DE14DTO01,coralExtensionRate::Sr/Ca,,4.01,added
DE14DTO01,coralExtensionRateNotes::Sr/Ca,,4.01 mm/yr,added
DE14DTO01,createdBy::Sr/Ca,,CoralHydro2k,added
DE14DTO02,pub1_citation,"DeLong, K. L., Flannery, J. A., Poore, R. Z., Quinn, T. M., Maupin, C. R., Lin, K. and She","DeLong, K. L., Flannery, J. A., Poore, R. Z., Quinn, T. M., Maupin, C. R., Lin, K. and She",changed
DE14DTO02,pub1_title,A reconstruction of sea surface temperature variability in the southeastern Gulf of Mexico,A reconstruction of sea surface temperature variability in the southeastern Gulf of Mexico,changed
DE14DTO02,pub2_title,Refining temperature reconstructions with the Atlantic coral Siderastrea siderea. ,Refining temperature reconstructions with the Atlantic coral Siderastrea siderea.,changed
DE14DTO02,number::Sr/Ca,1,2,changed
DE14DTO02,number::year,2,1,changed
DE14DTO02,pub3_author,,"Flannery, J. A., Richey, J. N., Thirumalai, K., Poore, R. Z. and DeLong, K. L.",added
DE14DTO02,pub3_citation,,"Flannery, J. A., Richey, J. N., Thirumalai, K., Poore, R. Z. and DeLong, K. L. 2017. Multi",added
DE14DTO02,pub3_doi,,10.1016/j.palaeo.2016.10.022,added
DE14DTO02,pub3_firstauthor,,"Flannery, J.",added
DE14DTO02,pub3_journal,,"Palaeogeography, Palaeoclimatology, Palaeoecology",added
DE14DTO02,pub3_title,,Multi-species coral Sr/Ca based sea-surface temperature reconstruction using Orbicella fav,added
DE14DTO02,pub3_year,,2017,added
DE14DTO02,createdBy::year,,CoralHydro2k,added
DE14DTO02,variableType::Sr/Ca,,measured,added
DE14DTO02,proxy::Sr/Ca,,Sr/Ca,added
