term,family,priority,ownership,nullable_by_curator,suggested_ownership,suggested_nullable,rationale,n_compilations,compilations,n_filled,max_distinct,n_conflict_subst,ts_name,convo_type,same_across_dataset,example_values
paleoData_proxy,paleoData_proxy,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,16,FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,214866,94,,,,,
climateInterpretation1_direction,climateInterpretation*_direction,1. decides behaviour (11+ compilations),,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,15,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,211038,12,,,,,
climateInterpretation1_seasonality,climateInterpretation*_seasonality,1. decides behaviour (11+ compilations),,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,15,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,207714,59,,,,,
paleoData_notes,paleoData_notes,1. decides behaviour (11+ compilations),,,curator,TRUE,a judgement recorded by a compilation; sheet is authoritative,15,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;Temp24k;test,173329,785,,,,,
climateInterpretation1_variableDetail,climateInterpretation*_variableDetail,1. decides behaviour (11+ compilations),,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,14,FreeSoda;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,155899,120,,,,,
createdBy,createdBy,1. decides behaviour (11+ compilations),,,machine,FALSE,derived or written by the pipeline; file is authoritative,13,CoralHydro2k;FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,220216,10,3,createdBy,character,TRUE,matlab | lipd.net | L.Thoele | github.com/nickmckay/LegacyClimate2LiPD
paleoData_datum,paleoData_datum,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,13,FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,232663,18,,,,,
paleoData_proxyGeneral,paleoData_proxyGeneral,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,13,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,213386,31,,,,,
pub1_author,pub*_author,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,13,CoralHydro2k;FreeSoda;GBRCD;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;RapidArcticWarming;SISAL-LiPD;Temp24k;test,192259,2379,,,,,
pub1_title,pub*_title,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,13,CoralHydro2k;FreeSoda;GBRCD;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;RapidArcticWarming;SISAL-LiPD;Temp24k;test,186481,2695,9,pub1_title,character,TRUE,Recent intensification of tropical climate variability in the Indian Ocean | Optimized coral reconstructions of the Indian Ocean Dipole: An assessment of location and length considerations | Coupling of Indo-Pacific climate variability over the last millennium | Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometryn
pub1_year,pub*_year,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,13,CoralHydro2k;FreeSoda;GBRCD;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;RapidArcticWarming;SISAL-LiPD;Temp24k;test,192845,72,9,pub1_year,numeric,TRUE,2008 | 2015 | 2020 | 2016
calibration_method,calibration_method,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,12,CoralHydro2k;FreeSoda;GBRCD;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;PalMod;RapidArcticWarming;Temp24k;test,149821,486,1,calibration_method,character,FALSE,OLS | MLR | RMA | RMS
climateInterpretation1_seasonalityGeneral,climateInterpretation*_seasonalityGeneral,1. decides behaviour (11+ compilations),,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,12,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,207703,92,,,,,
paleoData_proxyDetail,paleoData_proxyDetail,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,12,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,175996,2066,,,,,
pub1_journal,pub*_journal,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,12,CoralHydro2k;FreeSoda;GBRCD;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;RapidArcticWarming;SISAL-LiPD;Temp24k;test,171142,811,9,pub1_journal,character,TRUE,Nature Geoscience | Paleoceanography | Nature | Journal of Geophysical Research: Oceans
neotomaDatasetId,neotomaDatasetId,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,11,FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,3303,332,0,neotomaDatasetId,character,TRUE,10.21233/N35X18 | 10.21233/N31T44 | not in Neotoma | 21284
paleoData_mostRecentCompilations,paleoData_mostRecentCompilations,1. decides behaviour (11+ compilations),,,machine,FALSE,derived or written by the pipeline; file is authoritative,11,FreeSoda;HoloceneAbruptChange;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;Temp24k,19047,35,,,,,
calibration_seasonality,calibration_seasonality,2. matters (6-10),,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,10,FreeSoda;GBRCD;HoloceneHydroclimate;Hydro21k;LakeStatus21k;NAm21k-noPollen;PalMod;RapidArcticWarming;Temp24k;test,5,2,1,calibration_seasonality,character,FALSE,((( 12 1 2002 ))) null /// 12 1 2 | 12 1 2002 | 7 | annual
geo_gcmdLocation,geo_gcmdLocation,2. matters (6-10),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,10,FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;RapidArcticWarming;SISAL-LiPD;Temp24k;test,185726,206,,,,,
paleoData_medianRes12k,paleoData_medianRes12k,2. matters (6-10),,,machine,FALSE,derived or written by the pipeline; file is authoritative,10,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;RapidArcticWarming;Temp24k;test,242607,1870,,,,,
pub1_pages,pub*_pages,2. matters (6-10),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,10,FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;RapidArcticWarming;SISAL-LiPD;Temp24k;test,20762,939,4,pub1_pages,character,TRUE,1525-1539 | 317-325 | 115-137 | 260-283
agesPerKyr,agesPerKyr,2. matters (6-10),,,machine,FALSE,derived or written by the pipeline; file is authoritative,9,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;NAm21k-noPollen;RapidArcticWarming;Temp24k;test,28073,958,14,agesPerKyr,numeric,FALSE,0.9955 | 0.5078 | 0.4645 | 0.4553
otherAgesPerKyr,otherAgesPerKyr,2. matters (6-10),,,REVIEW,FALSE,no rule matched,9,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;NAm21k-noPollen;RapidArcticWarming;Temp24k;test,28073,404,6,otherAgesPerKyr,character,FALSE,0 | 0.08274720728 | 0.1049882766 | 0.09211920225
paleoData_meanValue12k,paleoData_meanValue12k,2. matters (6-10),,,machine,FALSE,derived or written by the pipeline; file is authoritative,9,FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;PalMod;Temp24k;test,176183,72143,,,,,
paleoData_primaryTimeseries,paleoData_primaryTimeseries,2. matters (6-10),,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,9,FreeSoda;HoloceneAbruptChange;hydroclimate2k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;PalMod;SISAL-LiPD;Temp24k,139455,2,,,,,
pub1_issue,pub*_issue,2. matters (6-10),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,9,FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;NAm21k-noPollen;RapidArcticWarming;SISAL-LiPD;Temp24k;test,8833,130,38,pub1_issue,character,TRUE,11 | 2 | 3-4 | 7
pub1_volume,pub*_volume,2. matters (6-10),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,8,FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;NAm21k-noPollen;SISAL-LiPD;Temp24k;test,9413,259,0,pub1_volume,character,TRUE,30 | 77 | 135 | 399
pub1_citeKey,pub*_citeKey,2. matters (6-10),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,7,FreeSoda;LakeStatus21k;NAm21k-noPollen;RapidArcticWarming;SISAL-LiPD;Temp24k;test,4320,615,0,pub1_citeKey,character,TRUE,5VX4K5AH | JIJ4XAW3 | 555XVMXZ | J8JG62RV
paleoData_inCompilation,paleoData_inCompilation,3. minor (3-5),,,REVIEW,FALSE,no rule matched,4,FreeSoda;LakeStatus21k;Temp24k;test,1622,6,,,,,
paleoData_description,paleoData_description,3. minor (3-5),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,3,GBRCD;hydroclimate2k;iso2k,6528,202,,,,,
pub1_citation,pub*_citation,3. minor (3-5),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,3,GBRCD;hydroclimate2k;iso2k,6837,431,1,pub1_citation,character,TRUE,"Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F. (2003), 'Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes', Geochimica et Cosmochimica Acta, 67 (2), 231-246, 10.1016/S0016-7037(02)01055-4. | Arzey, A.K., McGregor, H.V., Clark, T.R., Webster, J.M., Lewis, S.E., Mallela, J., McKay, N.P., Fahey, H.W., Chakraborty, S., Razak, T.B. & Fischer, M.J. (2024), 'Coral skeletal proxy records database for the Great Barrier Reef, Australia', Earth System Science Data, 16 (10), 4869-4930, 10.5194/essd-16-4869-2024. | Brenner, L.D., Linsley, B.K. & Potts, D.C. (2017), 'A modern Sr/Ca-δ18O-sea surface temperature calibration for Isopora corals on the Great Barrier Reef', Paleoceanography, 32 (2), 182-194, 10.1002/2016pa002973. | Calvo, E., Marshall, J.F., Pelejero, C., McCulloch, M.T., Gagan, M.K. & Lough, J.M. (2007), 'Interdecadal climate variability in the Coral Sea since 1708 A.D', Palaeogeography, Palaeoclimatology, Palaeoecology, 248 (1-2), 190-201, 10.1016/j.palaeo.2006.12.003."
pub2_citation,pub*_citation,3. minor (3-5),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,3,GBRCD;hydroclimate2k;iso2k,3403,99,0,pub2_citation,character,TRUE,"Alibert, C. & McCulloch, M.T. (1997), 'Strontium/calcium ratios in modern Porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO', Paleoceanography, 12 (3), 345-363, 10.1029/97PA00318. | Chakraborty, S., Ramesh, R. & Lough, J.M. (2000), 'Effect of intraband variability on stable isotope and density time series obtained from banded corals', Journal of Earth System Science, 109, no. 1, 145-151, 10.1007/BF02719158. | Wang, Z., Li, J., Wei, G., Deng, W., Chen, X., Zeng, T., Wang, X., Ma, J., Zhang, L., Tu, X., Wang, Q. & McCulloch, M. (2019), 'Biologically controlled Mo isotope fractionation in coral reef systems', Geochimica et Cosmochimica Acta, 262, 128-142, 10.1016/j.gca.2019.07.037. | Chen, X., Deng, W., Kang, H., Zeng, T., Zhang, L., Zhao, J.-x. & Wei, G. (2021), 'A Replication Study on Coral δ11B and B/Ca and Their Variation in Modern and Fossil Porites: Implications for Coral Calcifying Fluid Chemistry and Seawater pH Changes Over the Last Millennium', Paleoceanography and Paleoclimatology, 36 (10), e2021PA004319, 10.1029/2021PA004319."
climateInterpretation1_basis,climateInterpretation*_basis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;RapidArcticWarming,442,175,,,,,
isotopeInterpretation1_direction,isotopeInterpretation*_direction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,1299,5,0,isotopeInterpretation1_direction,character,FALSE,positive | negative | decrease
isotopeInterpretation1_seasonality,isotopeInterpretation*_seasonality,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,1151,37,0,isotopeInterpretation1_seasonality,character,FALSE,subannual | Annual | Jun-Aug | Dec-Feb
isotopeInterpretation1_variable,isotopeInterpretation*_variable,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,1325,11,0,isotopeInterpretation1_variable,character,FALSE,seawaterIsotope | temperature | effectivePrecipitation | precipitationIsotope
isotopeInterpretation2_direction,isotopeInterpretation*_direction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,400,9,0,isotopeInterpretation2_direction,character,FALSE,negative | positive | postive | increase
isotopeInterpretation2_seasonality,isotopeInterpretation*_seasonality,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,181,10,0,isotopeInterpretation2_seasonality,character,FALSE,Wet Season | Winter | Summer | Spring
isotopeInterpretation2_variable,isotopeInterpretation*_variable,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,459,12,0,isotopeInterpretation2_variable,character,FALSE,temperature | seawaterIsotope | precipitationIsotope | groundWaterIsotope
isotopeInterpretation3_direction,isotopeInterpretation*_direction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,135,4,0,isotopeInterpretation3_direction,character,FALSE,"negative | depends on plant type | positive | positive (more mixing, higher d2H in surface waters)"
isotopeInterpretation3_seasonality,isotopeInterpretation*_seasonality,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,117,3,0,isotopeInterpretation3_seasonality,character,FALSE,Summer | Annual | May-Oct
isotopeInterpretation3_variable,isotopeInterpretation*_variable,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,2,hydroclimate2k;iso2k,99,8,0,isotopeInterpretation3_variable,character,FALSE,temperature | groundWaterIsotope | relativeHumidity | precipitation
paleoData_coreName,paleoData_coreName,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,2,CoralHydro2k;hydroclimate2k,281,161,,,,,
paleoData_inferredMaterial,paleoData_inferredMaterial,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,2,hydroclimate2k;iso2k,3099,20,,,,,
paleoData_measurementMaterial,paleoData_measurementMaterial,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,2,hydroclimate2k;iso2k,2252,73,,,,,
paleoData_measurementMaterialDetail,paleoData_measurementMaterialDetail,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,2,hydroclimate2k;iso2k,921,181,,,,,
paleoData_sensorSpecies,paleoData_sensorSpecies,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,2,GBRCD;hydroclimate2k,1199,11,,,,,
pub3_doi,pub*_doi,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,2,CoralHydro2k;GBRCD,76,8,,pub3_doi,character,TRUE,10.1016/j.palaeo.2016.10.022 | 10.1016/j.palaeo.2011.05.005 | 10.2112/SI63-003.1 | https://dspace.mit.edu/handle/1721.1/40969
additionalDataUrl,additionalDataUrl,4. single/low use,,,REVIEW,FALSE,no rule matched,1,CoralHydro2k,72,22,,additionalDataUrl,character,TRUE,https://www.ncdc.noaa.gov/paleo/study/32392 | https://agupubs.onlinelibrary.wiley.com/doi/suppl/10.1002/2018GL077619 | Information is also available in the supplemental information of Xiao et al. 2017 (doi: 10.1016/j.jseaes.2016.12.012) | https://www.ncdc.noaa.gov/paleo/study/16217
calibration_datasetRange,calibration_datasetRange,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,276,59,,calibration_datasetRange,character,FALSE,1990-1993 | 1988-1993 | 1973-1976 | 1971-1976
calibration_equationIntercept,calibration_equationIntercept,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,109,57,,calibration_equationIntercept,character,FALSE,10.46 | 10.29 | 0.65 | 11.37
calibration_equationSlope,calibration_equationSlope,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,109,50,,calibration_equationSlope,character,FALSE,-0.06 | -0.0537 | -0.185 | -0.083
calibration_equationSlopeUncertainty,calibration_equationSlopeUncertainty,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,93,26,,calibration_equationSlopeUncertainty,character,FALSE,0.001 | 6.00E-04 | 0.014 | 0.007
calibration_gbrCentredEquationNotes,calibration_gbrCentredEquationNotes,4. single/low use,,,curator,TRUE,a judgement recorded by a compilation; sheet is authoritative,1,GBRCD,20,3,,calibration_gbrCentredEquationNotes,character,FALSE,RMA; SrCa = 1.56 - 0.061 * SST; r2 = 0.5929; d18O = 4.66-0.184*SST; r2 = 0.4489 | Method NA; SrCa = -0.0615*SST; r2 = NA; UCa =- 0.00223*SST; r2 = NA | WLS; SrCa slope = -0.048; SrCa slope uncertainty = 0.0001; r2= 0.65
