family,term,suggested_category,suggested_canonical,suggested_scope,decision,canonical_if_synonym,nick_notes,rationale,note,aliases,alias_n_filled,alias_compilations,in_convo,ts_name,convo_type,same_across_dataset,n_compilations,ubiquity,compilations,n_filled,fill_rate,max_distinct,n_shared_tsids,n_conflict,n_conflict_subst,conflict_rate,example_values
notes,notes,compilation,,,,,,only GBRCD; in convo but unadopted,,,346,GBRCD,TRUE,notes,character,TRUE,1,0.06,GBRCD,346,0.289,60,,,,,"Sample originally measured by T. Razak, but has not been published previously. Age model created by A. Arzey for archiving. See GBRCD publication appendices. | Sample originally measured by A. Arzey, but data was not published previously. See GBRCD publication appendices. | Coral was part of the Enrichment of Nutrients Coral Reef Experiment (ENCORE) - control treatment. Trace elements were originally measured by S. Lewis, but data was not published previously. Age model updated for archiving. Notable diagenetic alteration. See GBRCD publication appendices. | Coral was part of the Enrichment of Nutrients Coral Reef Experiment (ENCORE) - nitrogen treatment. Trace elements were originally measured by S. Lewis, but data was not published previously. Age model updated for archiving. Notable diagenetic alteration. See GBRCD publication appendices."
paleoData_climateCorrelation,paleoData_climateCorrelation,compilation,,,,,,only Nam2kDendro; in convo but unadopted,,climateCorrelation,,,TRUE,,,,1,0.06,Nam2kDendro,1837,0.095,1608,,,,,
paleoData_climateCorrelationPval,paleoData_climateCorrelationPval,compilation,,,,,,only Nam2kDendro; in convo but unadopted,,climateCorrelationPval,,,TRUE,,,,1,0.06,Nam2kDendro,1837,0.095,1170,,,,,
paleoData_coralExtensionRate,paleoData_coralExtensionRate,compilation,,,,,,only GBRCD; in convo but unadopted,,,578,GBRCD,TRUE,paleoData_coralExtensionRate,character,FALSE,1,0.06,GBRCD,578,0.482,69,,,,,13 | 12.7 | 19.3 | 18
paleoData_coralExtensionRateNotes,paleoData_coralExtensionRateNotes,compilation,,,,,,only GBRCD; in convo but unadopted,,,637,GBRCD,TRUE,paleoData_coralExtensionRateNotes,character,FALSE,1,0.06,GBRCD,637,0.531,81,,,,,13 ± 3 mm/year; 30 μm/day ± 19% RSD | 60 μm/day ± 37% RSD | 12.7 mm/year | 19.3 mm/year
paleoData_coralHydro2kGroup,paleoData_coralHydro2kGroup,compilation,,,,,,term name references a compilation; used by CoralHydro2k,,coralHydro2kGroup,,,TRUE,,,,1,0.06,CoralHydro2k,304,1,7,,,,,
paleoData_coralTissueThickness,paleoData_coralTissueThickness,compilation,,,,,,only GBRCD; in convo but unadopted,,,227,GBRCD,TRUE,paleoData_coralTissueThickness,character,FALSE,1,0.06,GBRCD,227,0.189,14,,,,,5 | 6.5 | 7 | 5.5
paleoData_core,paleoData_core,compilation,,,,,,only GBRCD; in convo but unadopted,,,1194,GBRCD,TRUE,paleoData_core,character,FALSE,1,0.06,GBRCD,1194,0.996,183,,,,,Davies 2; Davies 2 side | PAN 98-2; PAN 98-2 B3 | PAN 98-2; PAN 98-2 B1 | Dip-04
paleoData_coreName,paleoData_coreName,compilation,,,,,,only CoralHydro2k;hydroclimate2k; in convo but unadopted,,coreName,,,TRUE,,,,2,0.11,CoralHydro2k;hydroclimate2k,281,0.053,161,,,,,
paleoData_createdBy,paleoData_createdBy,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,331,hydroclimate2k,TRUE,paleoData_createdBy,character,FALSE,1,0.06,hydroclimate2k,331,0.067,3,,,,,hydroclimate2k | wNAM | RapidArcticWarming - duplicate
paleoData_equilibriumEvidence,paleoData_equilibriumEvidence,compilation,,,,,,only iso2k; in convo but unadopted,,isotopeInterpretation1_equilibriumEvidence,,,TRUE,,,,1,0.06,iso2k,136,0.132,53,,,,,
paleoData_gbr14CDate,paleoData_gbr14CDate,compilation,,,,,,only GBRCD; in convo but unadopted,,,6,GBRCD,TRUE,paleoData_gbr14CDate,character,FALSE,1,0.06,GBRCD,6,0.005,4,,,,,5689 | 5688 | 5571 | 4481
paleoData_gbr14CDateUncertainty,paleoData_gbr14CDateUncertainty,compilation,,,,,,only GBRCD; in convo but unadopted,,,6,GBRCD,TRUE,paleoData_gbr14CDateUncertainty,character,FALSE,1,0.06,GBRCD,6,0.005,3,,,,,25 | 31 | 30
paleoData_gbrChronologyNotes,paleoData_gbrChronologyNotes,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_gbrChronologyNotes,character,FALSE,1,0.06,GBRCD,1199,1,66,,,,,SrCa compared with weekly averaged in situ SSTs from Davies Reef weather station. Features in SrCa record matched with same events in the SST record. | SrCa time series was derived by scaling of the distance axis for 1989 to 1993. | SrCa compared with in-situ weekly averaged blended SSTs from 3 sites around Orpheus and Pelorus Islands for TIMS data. | SrCa compared with weekly averaged SSTs; slice B1 matched only a small number of data points with mainly satellite derived SSTs 1988 to 1993.
paleoData_gbrDataCoverageGroup,paleoData_gbrDataCoverageGroup,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_gbrDataCoverageGroup,character,FALSE,1,0.06,GBRCD,1199,1,3,,,,,3 | 2 | 1
paleoData_gbrDatingNotes,paleoData_gbrDatingNotes,compilation,,,,,,only GBRCD; in convo but unadopted,,,74,GBRCD,TRUE,paleoData_gbrDatingNotes,character,FALSE,1,0.06,GBRCD,74,0.062,20,,,,,Off-cut of coral section used for record dated July 2022. Date sample taken from top of off-cut section and assumed to match youngest year of the record. See GBRCD publication appendices. | Alternate slice of coral dated July 2022. Date sample taken from near basal section of coral slice. Assumed to match oldest year of the record. See GBRCD publication appendices. | 5.790 ± 0.031 ka reported 2003-09 for top of NEL01D and 6.089 ± 0.040 ka reported 2003-09 for bottom of NEL01D. Additional dating information provided in Lewis (2005). Original age discrepancy compared with published Lough et al. (2014) 14C dating becomes within error using re-calibration of 14C ages. Assumed this NEL01D youngest year (year 130) matches LO14NEL04 youngest year (Lough et al. (2014) year 0). | 6.062 ± 0.089 ka reported 2003-09 for top of NEL03D and 6.179 ± 0.036 ka reported 2003-09 for bottom of NEL03D. Additional dating information provided in Lewis (2005). Original age discrepancy compared with published Lough et al. (2014) 14C dating becomes smaller using re-calibration of 14C ages. Assumed this NEL03D youngest year (year 70) matches youngest year of LO14NEL04 (Lough et al. (2014) NEL03D year 234).
paleoData_gbrIsAnomaly,paleoData_gbrIsAnomaly,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_gbrIsAnomaly,character,FALSE,1,0.06,GBRCD,1199,1,2,,,,,FALSE | TRUE
paleoData_gbrIsDatabaseDuplicate,paleoData_gbrIsDatabaseDuplicate,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_gbrIsDatabaseDuplicate,character,FALSE,1,0.06,GBRCD,1199,1,2,,,,,TRUE | FALSE
paleoData_gbrUThDate,paleoData_gbrUThDate,compilation,,,,,,only GBRCD; in convo but unadopted,,,66,GBRCD,TRUE,paleoData_gbrUThDate,character,FALSE,1,0.06,GBRCD,66,0.055,13,,,,,5752 | 5721 | 5736 | 6008
paleoData_gbrUThDateUncertainty,paleoData_gbrUThDateUncertainty,compilation,,,,,,only GBRCD; in convo but unadopted,,,66,GBRCD,TRUE,paleoData_gbrUThDateUncertainty,character,FALSE,1,0.06,GBRCD,66,0.055,9,,,,,13 | 11 | 31 | 89
paleoData_hasUncertainty,paleoData_hasUncertainty,compilation,,,,,,only CoralHydro2k; in convo but unadopted,,hasUncertainty,,,TRUE,,,,1,0.06,CoralHydro2k,7,0.023,7,,,,,
paleoData_hydroclimate2kCertification,paleoData_hydroclimate2kCertification,compilation,,,,,,term name references a compilation; used by hydroclimate2k,,hydroclimate 2k Certification,,,TRUE,,,,1,0.06,hydroclimate2k,142,0.029,10,,,,,
paleoData_inferredMaterial,paleoData_inferredMaterial,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,inferredMaterial,,,TRUE,,,,2,0.11,hydroclimate2k;iso2k,3099,0.518,20,,,,,
paleoData_isComposite,paleoData_isComposite,compilation,,,,,,only CoralHydro2k; in convo but unadopted,,isComposite,,,TRUE,,,,1,0.06,CoralHydro2k,304,1,2,,,,,
paleoData_iso2kCertification,paleoData_iso2kCertification,compilation,,,,,,term name references a compilation; used by iso2k,,Iso2k QC certification (INITIALS),,,TRUE,,,,1,0.06,iso2k,727,0.705,68,,,,,
paleoData_iso2kHackathonNotes,paleoData_iso2kHackathonNotes,compilation,,,,,,term name references a compilation; used by iso2k,,QC notes from Hackathon #2 (and initials),,,TRUE,,,,1,0.06,iso2k,384,0.372,95,,,,,
paleoData_iso2kPrimaryTimeseries,paleoData_iso2kPrimaryTimeseries,compilation,,,,,,term name references a compilation; used by iso2k,,Iso2k primary timeseries for dataset,,,TRUE,,,,1,0.06,iso2k,1022,0.991,5,,,,,
paleoData_iso2kUI,paleoData_iso2kUI,compilation,,,,,,term name references a compilation; used by hydroclimate2k;iso2k,,iso2kUI,,,TRUE,,,,2,0.11,hydroclimate2k;iso2k,1411,0.236,762,,,,,
paleoData_jcpMeasured,paleoData_jcpMeasured,compilation,,,,,,only GBRCD; in convo but unadopted,,,325,GBRCD,TRUE,paleoData_jcpMeasured,character,FALSE,1,0.06,GBRCD,325,0.271,11,,,,,8.82 | 8.64 | 8.79 | 8.85
paleoData_jcpUsed,paleoData_jcpUsed,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_jcpUsed,character,FALSE,1,0.06,GBRCD,1199,1,2,,,,,FALSE | TRUE
paleoData_longName,paleoData_longName,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_longName,character,FALSE,1,0.06,GBRCD,1199,1,77,,,,,Sr/Ca | Distance | Ba | Ba/Ca
paleoData_measurementInstrument,paleoData_measurementInstrument,compilation,,,,,,only GBRCD; in convo but unadopted,,,1115,GBRCD,TRUE,paleoData_measurementInstrument,character,FALSE,1,0.06,GBRCD,1115,0.93,62,,,,,Finnigan MAT 261 | ArF excisor laser beam paired with Fisons PQII Q-ICP-MS or Agilent 7500s Q-ICP-MS | Thermo X-Series II Q-ICP-MS | Thermo Scientific iCAP 7600 series ICP-AES
paleoData_measurementMaterial,paleoData_measurementMaterial,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,measurementMaterial,,,TRUE,,,,2,0.11,hydroclimate2k;iso2k,2252,0.376,73,,,,,
paleoData_measurementMaterialDetail,paleoData_measurementMaterialDetail,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,measurementMaterialDetail,,,TRUE,,,,2,0.11,hydroclimate2k;iso2k,921,0.154,181,,,,,
paleoData_measurementMaterialScreening,paleoData_measurementMaterialScreening,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_measurementMaterialScreening,character,FALSE,1,0.06,GBRCD,1199,1,6,,,,,No | Yes; SEM | Yes; SEM & XRD | Yes; UV & SEM
paleoData_measurementMethod,paleoData_measurementMethod,compilation,,,,,,only GBRCD; in convo but unadopted,,,1120,GBRCD,TRUE,paleoData_measurementMethod,character,FALSE,1,0.06,GBRCD,1120,0.934,19,,,,,TIMS | LA-ICP-MS | Q-ICP-MS | ICP-AES
paleoData_samplingResolution,paleoData_samplingResolution,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,paleoData_samplingResolution,character,FALSE,1,0.06,GBRCD,1199,1,14,,,,,fortnightly_uneven | weekly_uneven | monthly_uneven | annual
paleoData_sensorSpecies,paleoData_sensorSpecies,compilation,,,,,,only GBRCD;hydroclimate2k; in convo but unadopted,,sensorSpecies,,,TRUE,,,,2,0.11,GBRCD;hydroclimate2k,1199,0.195,11,,,,,
paleoData_uncertaintyAnalytical,paleoData_uncertaintyAnalytical,compilation,,,,,,only GBRCD; in convo but unadopted,,,273,GBRCD,TRUE,paleoData_uncertaintyAnalytical,character,FALSE,1,0.06,GBRCD,273,0.228,57,,,,,0.11 | 0.06 | 0.02 | 0.05
paleoData_uncertaintyAnalyticalUnits,paleoData_uncertaintyAnalyticalUnits,compilation,,,,,,only GBRCD; in convo but unadopted,,,273,GBRCD,TRUE,paleoData_uncertaintyAnalyticalUnits,character,FALSE,1,0.06,GBRCD,273,0.228,3,,,,,permil | mmol/mol | %
paleoData_variableType,paleoData_variableType,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,variableType,,,TRUE,,,,1,0.06,hydroclimate2k,4378,0.883,10,,,,,
pub*_altDataURL,pub1_altDataURL,compilation,,,,,,only GBRCD; in convo but unadopted,,,418,GBRCD,TRUE,pub1_altDataURL,character,TRUE,1,0.06,GBRCD,418,0.349,12,,,,,https://bg.copernicus.org/articles/12/1223/2015/bg-12-1223-2015-supplement.pdf | 10.17632/ww8mvgzymf.1 | 10.25911/5d778a502c764 | https://researchonline.jcu.edu.au/1347/
pub*_altDataURL,pub2_altDataURL,compilation,,,,,,only GBRCD; in convo but unadopted,,,152,GBRCD,TRUE,pub2_altDataURL,character,TRUE,1,0.06,GBRCD,152,0.127,8,,,,,10.17632/jj2ttcsggx.1 | 10.25921/e1x8-m454 | 10.25911/5d778a502c764 | https://researchonline.jcu.edu.au/1347/
pub*_altDataUrl,pub3_altDataUrl,compilation,,,,,,only GBRCD; in convo but unadopted,,,26,GBRCD,TRUE,pub3_altDataUrl,character,TRUE,1,0.06,GBRCD,26,0.022,2,,,,,10.25921/zmax-x645 | https://ars.els-cdn.com/content/image/1-s2.0-S0012821X19304856-mmc1.docx
pub*_author,pub2_author,compilation,,,,,,only GBRCD; in convo but unadopted,,pub2_authors,,,TRUE,,,,1,0.06,GBRCD,379,0.316,23,,,,,
pub*_author,pub3_author,compilation,,,,,,only GBRCD; in convo but unadopted,,pub3_authors,,,TRUE,,,,1,0.06,GBRCD,50,0.042,8,,,,,
pub*_citation,pub3_citation,compilation,,,,,,only GBRCD; in convo but unadopted,,,50,GBRCD,TRUE,pub3_citation,character,TRUE,1,0.06,GBRCD,50,0.042,8,,,,,"Druffel, E.R.M. and Griffin, S. (1993), 'Large variations of surface ocean radiocarbon: evidence of circulation changes in the southwestern Pacific', Journal of Geophysical Research, 98 (C11), 20246-20259, 10.1029/93JC02113. | Gagan, M.K., Chivas, A.R. & Isdale, P.J. (1994), 'High-resolution isotopic records from corals using ocean temperature and mass-spawning chronometers', Earth and Planetary Science Letters, 121, no. 3, 549-558, 10.1016/0012-821X(94)90090-6. | Leonard, N.D., Welsh, K.J., Lough, J.M., Feng, Y.x., Pandolfi, J.M., Clark, T.R. & Zhao, J.x. (2016), 'Evidence of reduced mid-Holocene ENSO variance on the Great Barrier Reef, Australia', Paleoceanography, 31, no. 9, 1248-1260, 10.1002/2016PA002967. | D'Olivo, J.P. & McCulloch, M. (2022), 'Impact of European settlement and land use changes on Great Barrier Reef river catchments reconstructed from long-term coral Ba/Ca records', Science of the Total Environment, 830, 154461, 10.1016/j.scitotenv.2022.154461."
pub*_doi,pub3_doi,compilation,,,,,,only CoralHydro2k;GBRCD; in convo but unadopted,,,76,CoralHydro2k;GBRCD,TRUE,pub3_doi,character,TRUE,2,0.11,CoralHydro2k;GBRCD,76,0.051,8,,,,,10.1016/j.palaeo.2016.10.022 | 10.1016/j.palaeo.2011.05.005 | 10.2112/SI63-003.1 | https://dspace.mit.edu/handle/1721.1/40969
pub*_doiData,pub1_doiData,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,pub1_doiData,character,TRUE,1,0.06,GBRCD,1199,1,59,,,,,10.25921/ddhn-hf49 | 10.25921/hqxk-8h74 | 10.25921/nycg-vp29 | 10.25921/qkph-pf51
pub*_firstAuthor,pub1_firstAuthor,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,pub1_firstAuthor,character,TRUE,1,0.06,GBRCD,1199,1,33,,,,,"Alibert, C. | Arzey, A. K. | Brenner, L. D. | Calvo E."
pub*_firstAuthor,pub2_firstAuthor,compilation,,,,,,only GBRCD; in convo but unadopted,,,379,GBRCD,TRUE,pub2_firstAuthor,character,TRUE,1,0.06,GBRCD,379,0.316,19,,,,,"Alibert, C. | Chakraborty, S. | Wang, Z. | Chen, X."
pub*_firstAuthor,pub3_firstAuthor,compilation,,,,,,only GBRCD; in convo but unadopted,,,50,GBRCD,TRUE,pub3_firstAuthor,character,TRUE,1,0.06,GBRCD,50,0.042,8,,,,,"Druffel, E. R. M. | Gagan, M.K. | Leonard, N. J. | D'Olivo, J. P."
pub*_journal,pub2_journal,compilation,,,,,,only GBRCD; in convo but unadopted,,,379,GBRCD,TRUE,pub2_journal,character,TRUE,1,0.06,GBRCD,379,0.316,16,,,,,Paleoceanography | Journal of Earth System Science | Geochimica et Cosmochimica Acta | Paleoceanography and Paleoclimatology
pub*_journal,pub3_journal,compilation,,,,,,only GBRCD; in convo but unadopted,,,50,GBRCD,TRUE,pub3_journal,character,TRUE,1,0.06,GBRCD,50,0.042,7,,,,,Journal of Geophysical Research | Earth and Planetary Science Letters | Paleoceanography | Science of the Total Environment
pub*_title,pub2_title,compilation,,,,,,only GBRCD; in convo but unadopted,,,379,GBRCD,TRUE,pub2_title,character,TRUE,1,0.06,GBRCD,379,0.316,23,,,,,Strontium/calcium ratios in modern Porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO | Effect of intraband variability on stable isotope and density time series obtained from banded corals | Biologically controlled Mo isotope fractionation in coral reef systems | A Replication Study on Coral δ11B and B/Ca and Their Variation in Modern and Fossil Porites: Implications for Coral Calcifying Fluid Chemistry and Seawater pH Changes Over the Last Millennium
pub*_title,pub3_title,compilation,,,,,,only GBRCD; in convo but unadopted,,,50,GBRCD,TRUE,pub3_title,character,TRUE,1,0.06,GBRCD,50,0.042,8,,,,,"Large variations of surface ocean radiocarbon: evidence of circulation changes in the southwestern Pacific | High-resolution isotopic records from corals using ocean temperature and mass-spawning chronometers | Evidence of reduced mid-Holocene ENSO variance on the Great Barrier Reef, Australia | Impact of European settlement and land use changes on Great Barrier Reef river catchments reconstructed from long-term coral Ba/Ca records"
pub*_year,pub2_year,compilation,,,,,,only GBRCD; in convo but unadopted,,,379,GBRCD,TRUE,pub2_year,numeric,TRUE,1,0.06,GBRCD,379,0.316,16,,,,,1997 | 2000 | 2019 | 2021
pub*_year,pub3_year,compilation,,,,,,only GBRCD; in convo but unadopted,,,50,GBRCD,TRUE,pub3_year,numeric,TRUE,1,0.06,GBRCD,50,0.042,8,,,,,1993 | 1994 | 2016 | 2022
Has chronology data,Has chronology data,synonym,hasChron,,,,,convo maps this QC column to canonical 'hasChron',,,1031,iso2k,TRUE,hasChron,character,TRUE,0,0,,0,0,0,,,,,1 | 0
Has paleo depth data,Has paleo depth data,synonym,hasDepth,,,,,convo maps this QC column to canonical 'hasDepth',,,1031,iso2k,TRUE,hasDepth,character,TRUE,0,0,,0,0,0,,,,,1 | 0
Iso2k QC certification (INITIALS),Iso2k QC certification (INITIALS),synonym,paleoData_iso2kCertification,,,,,convo maps this QC column to canonical 'paleoData_iso2kCertification',,,727,iso2k,TRUE,paleoData_iso2kCertification,character,FALSE,0,0,,0,0,0,,,,,"BK 12/31/2019 | MJ | DMT (1/14/19) | DMT (1/14/19; updated 12/31/19), KLD"
Iso2k primary timeseries for dataset,Iso2k primary timeseries for dataset,synonym,paleoData_iso2kPrimaryTimeseries,,,,,convo maps this QC column to canonical 'paleoData_iso2kPrimaryTimeseries',,,1022,iso2k,TRUE,paleoData_iso2kPrimaryTimeseries,character,FALSE,0,0,,0,0,0,,,,,FALSE | TRUE | DUPLICATE? | DUPLICATE
Link to LiPDverse,Link to LiPDverse,synonym,link to lipdverse,,,,,normalises to convo term 'link to lipdverse',,,0,HoloceneAbruptChange,FALSE,,,,1,0.06,HoloceneAbruptChange,0,0,0,,,,,
QC Certification,QC Certification,synonym,paleoData_QCCertification,,,,,convo maps this QC column to canonical 'paleoData_QCCertification',165 substantive cross-compilation conflicts,,16117,CoralHydro2k;FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;iso2k;LakeStatus21k;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,TRUE,paleoData_QCCertification,character,FALSE,0,0,,0,0,0,4770,166,165,0.0348,"PMS | PMS, OC | DSK, PMS, AdV | RSV,PMS, AAC"
QC comments,QC comments,synonym,paleoData_QCnotes,,,,,convo maps this QC column to canonical 'paleoData_QCnotes',58 substantive cross-compilation conflicts,,11357,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;iso2k;LakeStatus21k;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,TRUE,paleoData_QCnotes,character,FALSE,0,0,,0,0,0,3712,77,58,0.0207,"there is also an August SST | defer to BAY recalibrated | fails age control (one 4400 year gap), but otherwise solid age model- keep | fails age control (one 4400 year gap), but otherwise solid age model- keep; missing origional UK37 data (no Bayesian recalibration)"
QC notes from Hackathon #2 (and initials),QC notes from Hackathon #2 (and initials),synonym,paleoData_iso2kHackathonNotes,,,,,convo maps this QC column to canonical 'paleoData_iso2kHackathonNotes',,,384,iso2k,TRUE,paleoData_iso2kHackathonNotes,character,FALSE,0,0,,0,0,0,,,,,"isotope interpretation 1 should be P_isotope? and move ""precipitation amount"" to climate fields. -BK | this is the d13C data so not needed | Missing ""isotope interpretation1,2,3"" fields. -BK DMT: Resolved 1/14 | Missing ""isotope interpreation1,2,3"" fields -BK DMT: fixed 1/14"
Remaining issues,Remaining issues,synonym,paleoData_QCRemainingIssues,,,,,convo maps this QC column to canonical 'paleoData_QCRemainingIssues',,,4,FreeSoda;LakeStatus21k;NAm21k-noPollen;Nam2kDendro;PalMod;Temp24k;test,TRUE,paleoData_QCRemainingIssues,character,FALSE,0,0,,0,0,0,,,,,"LJ: unclear origin of data. I think the Mg/Ca data are from Koutavas, A., J. Lynch‐Stieglitz, T. M. Marchitto Jr., and J. P. Sachs, El Nino‐like pattern in ice age tropical Pacific sea surface temperature, Science, 297, 226–230, 2002. Not sure where the alkenone concentration data are from and whether an SST estimate based on alkenones also exists | OC accepted all the records for this lipd file based on available age model | OC accepted all the records for this lipd file based on available age model; age model not displayed here in the file"
basis,basis,synonym,climateInterpretation1_basis,,,,,convo maps this QC column to canonical 'climateInterpretation1_basis',,,442,hydroclimate2k;RapidArcticWarming,TRUE,climateInterpretation1_basis,character,FALSE,0,0,,0,0,0,1,0,0,0,"The annual variability of the Bunaken coral d18O refects the seasonal cycle of both salinity and temperature in the surrounding seawater | Interannual variability in the MS01 coral d18O for 1910a€“ 1997 is clearly dominated by changes in d18Ow because SSTs reconstructed from the coral d18O span 5C [Gagan et al., 1998], while the GOSTA SST range is only 1C (Figure 1). Comparison of local SSTs and rainfall with the coral d18O record shows that d18O increases when SST and rainfall decrease during El NinEœo events | The average interannual ?18O variability at Tobago represents a ?SST of ~1.0i¿½C from one year to the next, about 3.5 times the instrumental ?SST value. This disagreement implies that there are significant interannual changes in salinity responsible for the ?18O of the corals from Tobago. | interannual d18OSW variations can largely be explained by months-long changes in precipitation minus evaporation and zonal advection"
climateCorrelation,climateCorrelation,synonym,paleoData_climateCorrelation,,,,,convo maps this QC column to canonical 'paleoData_climateCorrelation',,,1837,Nam2kDendro,TRUE,paleoData_climateCorrelation,numeric,FALSE,0,0,,0,0,0,,,,,0.0788 | 0.1017 | 0.1918 | 0.0985
climateCorrelationPval,climateCorrelationPval,synonym,paleoData_climateCorrelationPval,,,,,convo maps this QC column to canonical 'paleoData_climateCorrelationPval',,,1837,Nam2kDendro,TRUE,paleoData_climateCorrelationPval,numeric,FALSE,0,0,,0,0,0,,,,,0.479 | 0.3601 | 0.0824 | 0.3756
climateVariable,climateVariable,synonym,climateInterpretation1_variable,,,,,convo maps this QC column to canonical 'climateInterpretation1_variable',117 substantive cross-compilation conflicts,,211446,FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,TRUE,climateInterpretation1_variable,character,FALSE,0,0,,0,0,0,69052,117,117,0.0017,temperature | precipitation | effectivePrecipitation | seaIce
climateVariableDetail,climateVariableDetail,synonym,climateInterpretation1_variableDetail,,,,,convo maps this QC column to canonical 'climateInterpretation1_variableDetail',24 substantive cross-compilation conflicts,,155899,FreeSoda;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,TRUE,climateInterpretation1_variableDetail,character,FALSE,0,0,,0,0,0,67833,24,24,4e-4,@surface | air@surface | precipitation@surface | amount@surface
coralHydro2kGroup,coralHydro2kGroup,synonym,paleoData_coralHydro2kGroup,,,,,convo maps this QC column to canonical 'paleoData_coralHydro2kGroup',,,304,CoralHydro2k,TRUE,paleoData_coralHydro2kGroup,numeric,FALSE,0,0,,0,0,0,,,,,4 | 6 | 3 | 2
coreName,coreName,synonym,paleoData_coreName,,,,,convo maps this QC column to canonical 'paleoData_coreName',,,281,CoralHydro2k;hydroclimate2k,TRUE,paleoData_coreName,character,FALSE,0,0,,0,0,0,,,,,"composite of: PG01-A-2,2b; TN99-A-4; TM01-A-10 | SW12-C-1 | TT01-A-1b | SI94-A-6"
countryOcean,countryOcean,synonym,geo_gcmdLocation,,,,,convo maps this QC column to canonical 'geo_gcmdLocation',22 substantive cross-compilation conflicts,,185726,FreeSoda;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;RapidArcticWarming;SISAL-LiPD;Temp24k;test,TRUE,geo_gcmdLocation,character,TRUE,0,0,,0,0,0,80435,22,22,3e-4,Africa>Eastern Africa>Ethiopia | Europe>Eastern Europe>Russian Federation | Indian Ocean | North America>United States Of America>Minnesota
datum,datum,synonym,paleoData_datum,,,,,convo maps this QC column to canonical 'paleoData_datum',3 substantive cross-compilation conflicts,,232663,FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,TRUE,paleoData_datum,character,FALSE,0,0,,0,0,0,75689,3,3,0,abs | 1950 | VSMOW | PDB
description,description,synonym,paleoData_description,,,,,convo maps this QC column to canonical 'paleoData_description',1 substantive cross-compilation conflicts,,6528,GBRCD;hydroclimate2k;iso2k,TRUE,paleoData_description,character,FALSE,0,0,,0,0,0,715,1,1,0.0014,"Strontium/Calcium | Distance measured from outer edge of coral or core. | Barium | Barium/Calcium. 
 For laser ablation datasets this is a measure of the total Ba/Ca using the count intensities of the Ba137 isotope."
direction,direction,synonym,climateInterpretation1_direction,,,,,convo maps this QC column to canonical 'climateInterpretation1_direction',14 substantive cross-compilation conflicts,,211038,FreeSoda;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,TRUE,climateInterpretation1_direction,character,FALSE,0,0,,0,0,0,68817,14,14,2e-4,positive | negative
dynamicalSystem,dynamicalSystem,synonym,climateInterpretation1_dynamical,,,,,convo maps this QC column to canonical 'climateInterpretation1_dynamical',,,11,hydroclimate2k,TRUE,climateInterpretation1_dynamical,character,FALSE,0,0,,0,0,0,,,,,PDO | Pacific Decadal Oscillation | ENSO/PDO | ENSO/PDO/NAM
