dataset,blocker,compilations,block,tsid,variableName,units,n_values
Burgaschisee.Rey.2019,none,NA,chronData,lc-chR1cVQuJVUeQXueyWC,notes,unitless,22
Burmarradria.Djamali.2013,none,NA,chronData,lc-chRWznDhdW4LRdwzRFK,thickness,cm,5
Burmarradria.Djamali.2013,none,NA,chronData,lc-chRTyDoEZs39GAqY7pq,notes,unitless,5
Burmarradria.Djamali.2013,none,NA,chronData,lc-chRwaoo0GABeEisx6i8,depth_top,cm,5
Burmarradria.Djamali.2013,none,NA,chronData,lc-chRa4TJraXxRflYTFtk,depth_bottom,cm,5
BurntKnobLake.BrunelleDaines.2002,none,NA,chronData,lc-chRE238zxohBcXPhoHE,notes,unitless,14
BushmansFountain.Butzer.1979,none,NA,paleoData,OLS_RDsyoKRTYvD,lakeTrend,unitless,32
Butovka.Borisova.2005,none,NA,chronData,lc-chRrUzmoj5tYVwpknaP,notes,unitless,3
ButterMountain.Holland.1975,none,NA,chronData,lc-chRT7h6CdPyStx3ry0e,notes,unitless,5
ByllatskoyeExposureByllatRiverIndigirkaBasin.Anderson.2002,none,NA,chronData,lc-chR16nlEi1AVifc42P7,notes,unitless,3
ByronBergenSwampSite1.Miller.2003,none,NA,chronData,lc-chRlaXIehlLBbOmrXUS,notes,unitless,3
ByronBergenSwampSite2.Miller.2003,none,NA,chronData,lc-chRVCM6XhDPbzVStjOJ,notes,unitless,6
CAHUM558PilotRidge.Hildebrandt.1983,none,NA,chronData,lc-chR0sWZ6AEKcMfbqefI,notes,unitless,2
CO04BAFI,none,NA,chronData,cdRKdwYZ90ZbBDy7oz9chron1,depthUTh,mm,8
CO04BAFI,none,NA,chronData,cdRlm8HMnddz6AcXjWschron2,SampleID,NA,8
CO04BAFI,none,NA,chronData,cdRyQjlawXW69bCQNnmchron3,weight,mg,8
CO04BAFI,none,NA,chronData,cdRL7yG5U6D1ps3MZmechron4,U238,ppb,8
CO04BAFI,none,NA,chronData,cdRWHqUfulsKXPOzqH6chron5,U238_error,ppb,8
CO04BAFI,none,NA,chronData,cdRQWsGTtNqSwXc0oizchron6,Th232,ppt,8
CO04BAFI,none,NA,chronData,cdRQgxoHLsvrQsMxZC4chron7,Th232_error,ppt,8
CO04BAFI,none,NA,chronData,cdRmVwiKSzR5iGWSzypchron8,d234U,(ratio),8
CO04BAFI,none,NA,chronData,cdRyozWjiSPwKsoq7b6chron9,d234U_error,NA,8
CO04BAFI,none,NA,chronData,cdRVFJgH0p1rFxuk6jSchron10,Th230_U238activity,activity,8
CO04BAFI,none,NA,chronData,cdRbA4ocUVJ7b1Z7WIdchron11,U_Thactivity_error,NA,8
CO04BAFI,none,NA,chronData,cdR6wrB5p5lOAdHgm10chron12,Th230_Th232ratio,ppm,8
CO04BAFI,none,NA,chronData,cdRDCxLvjKgkNfgWb6Ychron13,Thratio_error,ppm,8
CO04BAFI,none,NA,chronData,cdRSNZ0McbvYoZrw9hUchron14,AgeUncorrected,years ago,8
CO04BAFI,none,NA,chronData,cdRZZPQbN5ezRajy4uQchron15,AgeUncorr_error,yrs,8
CO04BAFI,none,NA,chronData,cdRsDkPUlePWxMlqiCNchron17,AgeCorr_error,yrs,8
CO04BAFI,none,NA,chronData,cdRw3Ka5zTldhc2O4okchron18,dU234initial,(ratio),8
CO04BAFI,none,NA,chronData,cdR3s22NZPFK72Alivnchron19,dU234i_error,NA,8
CO04BAFI,none,NA,chronData,cdRBVqsxmyT9iHa7cTZchron20,depthtopPb,mm,8
CO04BAFI,none,NA,chronData,cdRMy5YjvnVxTBmA8fuchron21,depthbottomPb,mm,8
CO04BAFI,none,NA,chronData,cdReDbN94GqTXeYQ3xEchron22,Pb210excess,dpm/g,8
CO04BAFI,none,NA,chronData,cdRo6uaVO77ajS2kmEuchron23,Pb210_error,dpm/g,8
CO04BAFI,none,NA,chronData,cdR87T0YVYkU1akisgrchron24,depthtopCs,mm,8
CO04BAFI,none,NA,chronData,cdR2UmKAYhtQ5Jh8cTpchron25,depthbottomCs,mm,8
CO04BAFI,none,NA,chronData,cdR6bGdUQC3h6zlzZdjchron26,Cs137gamactivity,Bq/g,8
CO04BAFI,none,NA,chronData,cdRAOKXn6NmuEUjistlchron27,Cs137_error,Bq/g,8
CO04BAFI,none,NA,chronData,cdRFPeViffsW3GobeWTchron28,bandAge,yr CE,8
CO04BAFI,none,NA,chronData,cdRzd0AvVht3Vmeku9Schron29,sampleType,NA,8
CO04BAFI,none,NA,chronData,cdROFIuiWaVNHclK0okchron1,depthUTh,mm,8
CO04BAFI,none,NA,chronData,cdRAgDfyrpgX8BTLkFnchron2,SampleID,NA,8
CO04BAFI,none,NA,chronData,cdRjZTEeFVcYwv5sBObchron3,weight,mg,8
CO04BAFI,none,NA,chronData,cdRTjFdwEXKweb3bnuIchron4,U238,ppb,8
CO04BAFI,none,NA,chronData,cdRQGRb9idX3pObIEvKchron5,U238_error,ppb,8
CO04BAFI,none,NA,chronData,cdRCKPUIp9KdNjW8Pvrchron6,Th232,ppt,8
CO04BAFI,none,NA,chronData,cdRTk2n7Ff0GjEF4jaXchron7,Th232_error,ppt,8
CO04BAFI,none,NA,chronData,cdRwwVTAv0aoJU1SeGuchron8,d234U,(ratio),8
CO04BAFI,none,NA,chronData,cdR2I4aC8PWLfWiQTQCchron9,d234U_error,NA,8
CO04BAFI,none,NA,chronData,cdRT1AOqRhU5QuqulwAchron10,Th230_U238activity,activity,8
CO04BAFI,none,NA,chronData,cdRoZ3QxMBssZBV3lkgchron11,U_Thactivity_error,NA,8
CO04BAFI,none,NA,chronData,cdRXxPS9SCsh0p4hHhxchron12,Th230_Th232ratio,ppm,8
CO04BAFI,none,NA,chronData,cdRs4crfNSlz4TT3hh6chron13,Thratio_error,ppm,8
CO04BAFI,none,NA,chronData,cdRhQKKuD5VNI2Pwhb0chron14,AgeUncorrected,years ago,8
CO04BAFI,none,NA,chronData,cdRWFyX6BDIrafrBR9Cchron15,AgeUncorr_error,yrs,8
CO04BAFI,none,NA,chronData,cdRRCNulHWLNEhwuEWmchron17,AgeCorr_error,yrs,8
CO04BAFI,none,NA,chronData,cdRAh5uUeKWe8fbSVE2chron18,dU234initial,(ratio),8
CO04BAFI,none,NA,chronData,cdR7A9feFVp7gJAUfiDchron19,dU234i_error,NA,8
CO04BAFI,none,NA,chronData,cdR2m4OhJVL1eWN5aIuchron20,depthtopPb,mm,8
CO04BAFI,none,NA,chronData,cdRi4ccAgH7vvNbMXduchron21,depthbottomPb,mm,8
CO04BAFI,none,NA,chronData,cdRi8bKOJtgTTCYoisLchron22,Pb210excess,dpm/g,8
CO04BAFI,none,NA,chronData,cdRfYlbzgBb1I8EFH1fchron23,Pb210_error,dpm/g,8
CO04BAFI,none,NA,chronData,cdRMOx95l515WJySt8Cchron24,depthtopCs,mm,8
CO04BAFI,none,NA,chronData,cdRmbzWbentF9RdQGT2chron25,depthbottomCs,mm,8
CO04BAFI,none,NA,chronData,cdRjv18GZ7ZEZYzkw0Ichron26,Cs137gamactivity,Bq/g,8
CO04BAFI,none,NA,chronData,cdRhTGcCC6m1mRvU8aOchron27,Cs137_error,Bq/g,8
CO04BAFI,none,NA,chronData,cdRUgbkC10ZzvSwcaEYchron28,bandAge,yr CE,8
CO04BAFI,none,NA,chronData,cdRFWTjBnLcSJDepC7Ichron29,sampleType,NA,8
CO04INMI,none,NA,chronData,chron1_fMBXWYOD,depthUTh,mm,8
CO04INMI,none,NA,chronData,chron2_TQj2NrFe,SampleID,NA,8
CO04INMI,none,NA,chronData,chron3_8ao3W9eV,weight,mg,8
CO04INMI,none,NA,chronData,chron4_i3koo9nF,U238,ppb,8
CO04INMI,none,NA,chronData,chron5_DEAxgAIL,U238_error,ppb,8
CO04INMI,none,NA,chronData,chron6_irVWiJWA,Th232,ppt,8
CO04INMI,none,NA,chronData,chron7_oFVmaoGA,Th232_error,ppt,8
CO04INMI,none,NA,chronData,chron8_b44Cvqsk,d234U,(ratio),8
CO04INMI,none,NA,chronData,chron9_6J2xp5Mn,d234U_error,NA,8
CO04INMI,none,NA,chronData,chron10_NU45CVgb,Th230_U238activity,activity,8
CO04INMI,none,NA,chronData,chron11_KWDaEvVG,U_Thactivity_error,NA,8
CO04INMI,none,NA,chronData,chron12_lfTv4sQB,Th230_Th232ratio,ppm,8
CO04INMI,none,NA,chronData,chron13_zU0cNahN,Thratio_error,ppm,8
CO04INMI,none,NA,chronData,chron14_jO4Ns4ZH,AgeUncorrected,years ago,8
CO04INMI,none,NA,chronData,chron15_h14npEuO,AgeUncorr_error,yrs,8
CO04INMI,none,NA,chronData,chron17_stp7fPOM,AgeCorr_error,yrs,8
CO04INMI,none,NA,chronData,chron18_qdbifUAd,dU234initial,(ratio),8
CO04INMI,none,NA,chronData,chron19_FMGfJCfC,dU234i_error,NA,8
CO04INMI,none,NA,chronData,chron20_uadeI00d,depthtopPb,mm,8
CO04INMI,none,NA,chronData,chron21_Gk5BMH5V,depthbottomPb,mm,8
CO04INMI,none,NA,chronData,chron22_xuEiSM5e,Pb210excess,dpm/g,8
CO04INMI,none,NA,chronData,chron23_k2zfENq4,Pb210_error,dpm/g,8
CO04INMI,none,NA,chronData,chron24_2wZDVeqR,depthtopCs,mm,8
CO04INMI,none,NA,chronData,chron25_v2Oxrvsc,depthbottomCs,mm,8
CO04INMI,none,NA,chronData,chron26_Xp7LgaBL,Cs137gamactivity,Bq/g,8
CO04INMI,none,NA,chronData,chron27_3IbiFCaU,Cs137_error,Bq/g,8
CO04INMI,none,NA,chronData,chron28_a5vveJYg,bandAge,yr CE,8
CO04INMI,none,NA,chronData,chron29_Go5tyYCY,sampleType,NA,8
CO04LIRA,none,NA,chronData,cdRBlIKswTN84kexfEUchron1,depthUTh,mm,8
CO04LIRA,none,NA,chronData,cdRITB15DbfjJGWHkgKchron2,SampleID,NA,8
CO04LIRA,none,NA,chronData,cdR5AW3exNwlhMY1X18chron3,weight,mg,8
CO04LIRA,none,NA,chronData,cdRwiAMJ3vQQSHefa0schron4,U238,ppb,8
CO04LIRA,none,NA,chronData,cdRXFnwlLw59CMa67mHchron5,U238_error,ppb,8
CO04LIRA,none,NA,chronData,cdRBBXtINwoDt3Ur5V3chron6,Th232,ppt,8
CO04LIRA,none,NA,chronData,cdRYTZubkyc8174ekASchron7,Th232_error,ppt,8
CO04LIRA,none,NA,chronData,cdRZeop95BniYsaMgcMchron8,d234U,(ratio),8
CO04LIRA,none,NA,chronData,cdRhnatBA17cmMMhI9rchron9,d234U_error,NA,8
CO04LIRA,none,NA,chronData,cdRD57xgAT6v8sgMFn7chron10,Th230_U238activity,activity,8
CO04LIRA,none,NA,chronData,cdR8ZQHWz6ulsKhVUQ8chron11,U_Thactivity_error,NA,8
CO04LIRA,none,NA,chronData,cdRgPnNxxKHco61Ox9xchron12,Th230_Th232ratio,ppm,8
CO04LIRA,none,NA,chronData,cdRtNF1XPCRhw8fWzFlchron13,Thratio_error,ppm,8
CO04LIRA,none,NA,chronData,cdRLYPscMFAOqFWcO4bchron14,AgeUncorrected,years ago,8
CO04LIRA,none,NA,chronData,cdR2qiv4hOxzsvvNyvAchron15,AgeUncorr_error,yrs,8
CO04LIRA,none,NA,chronData,cdRUnk4JkGQI0A682y9chron17,AgeCorr_error,yrs,8
CO04LIRA,none,NA,chronData,cdRtiJbHHf9x5PnUaUochron18,dU234initial,(ratio),8
CO04LIRA,none,NA,chronData,cdRuMZXvDbinvUuk5xRchron19,dU234i_error,NA,8
CO04LIRA,none,NA,chronData,cdRuTB9Q9PO3N3uNaIWchron20,depthtopPb,mm,8
CO04LIRA,none,NA,chronData,cdRg3EQ91RLoVGTpcHUchron21,depthbottomPb,mm,8
CO04LIRA,none,NA,chronData,cdRZmoC3OTj7QNh1WnSchron22,Pb210excess,dpm/g,8
CO04LIRA,none,NA,chronData,cdRiyt3oGa6tXqFHoJHchron23,Pb210_error,dpm/g,8
CO04LIRA,none,NA,chronData,cdRNYzFcm1flUc7rH5cchron24,depthtopCs,mm,8
CO04LIRA,none,NA,chronData,cdR8u9AZK7wHtIWcB5Nchron25,depthbottomCs,mm,8
CO04LIRA,none,NA,chronData,cdRuHop0tf1H52vGlr1chron26,Cs137gamactivity,Bq/g,8
CO04LIRA,none,NA,chronData,cdRZPfTDgILYPeCoiTmchron27,Cs137_error,Bq/g,8
CO04LIRA,none,NA,chronData,cdR5dlKSMNNLvN3dvaSchron28,bandAge,yr CE,8
CO04LIRA,none,NA,chronData,cdRWu136r5Ru9dmtfOgchron29,sampleType,NA,8
CO13CABL,none,NA,chronData,cdRuBCdYnduapnqH5TXchron1,depthUTh,mm,8
CO13CABL,none,NA,chronData,cdRgfN65xt3wGAcKmc9chron2,SampleID,NA,8
CO13CABL,none,NA,chronData,cdRk2iaFIqZTrYKDg8Uchron3,weight,mg,8
CO13CABL,none,NA,chronData,cdRebh8a29rJcYikTAQchron4,U238,ppb,8
CO13CABL,none,NA,chronData,cdRR0EALLWhzC0zzCPUchron5,U238_error,ppb,8
CO13CABL,none,NA,chronData,cdRmF7e76zhkN3aH2yschron6,Th232,ppt,8
CO13CABL,none,NA,chronData,cdRPzbesw3o13qvikeychron7,Th232_error,ppt,8
CO13CABL,none,NA,chronData,cdRK0MnYnOOJfTbxhjrchron8,d234U,(ratio),8
CO13CABL,none,NA,chronData,cdRIUynzWhWEg6BnKwkchron9,d234U_error,NA,8
CO13CABL,none,NA,chronData,cdRiOk2Q8TjzUj6HbnAchron10,Th230_U238activity,activity,8
CO13CABL,none,NA,chronData,cdRcFwj7sOLNbBTCjc5chron11,U_Thactivity_error,NA,8
CO13CABL,none,NA,chronData,cdRs646NW1WkFw8Hyt6chron12,Th230_Th232ratio,ppm,8
CO13CABL,none,NA,chronData,cdRuzuihlFnWi5ImDVdchron13,Thratio_error,ppm,8
CO13CABL,none,NA,chronData,cdRJvS3SubYkD5TpJyTchron14,AgeUncorrected,years ago,8
CO13CABL,none,NA,chronData,cdRwvAc20MR5smdxIFichron15,AgeUncorr_error,yrs,8
CO13CABL,none,NA,chronData,cdR3AgjgJBIIAYHnlsNchron17,AgeCorr_error,yrs,8
CO13CABL,none,NA,chronData,cdRJmD4c1j4QvO38Exhchron18,dU234initial,(ratio),8
CO13CABL,none,NA,chronData,cdREkBYSN5mCBjyXdcCchron19,dU234i_error,NA,8
CO13CABL,none,NA,chronData,cdRLANqT78PU6gJJl7vchron20,depthtopPb,mm,8
CO13CABL,none,NA,chronData,cdRySBOeeyyBhnYxZYMchron21,depthbottomPb,mm,8
CO13CABL,none,NA,chronData,cdR7qYlFEbGc38hhOHYchron22,Pb210excess,dpm/g,8
CO13CABL,none,NA,chronData,cdRekbGHyDQbUyTL9ucchron23,Pb210_error,dpm/g,8
CO13CABL,none,NA,chronData,cdRN5gMfv3pzR10IR7Ochron24,depthtopCs,mm,8
CO13CABL,none,NA,chronData,cdRDJZcJamYOtw4OWLjchron25,depthbottomCs,mm,8
CO13CABL,none,NA,chronData,cdR9cZbb2xCXteXuUgGchron26,Cs137gamactivity,Bq/g,8
CO13CABL,none,NA,chronData,cdRVq6tRTql08jkJ009chron27,Cs137_error,Bq/g,8
CO13CABL,none,NA,chronData,cdR5iIdL0N8kaI6I9Wjchron28,bandAge,yr CE,8
CO13CABL,none,NA,chronData,cdRIxla5PacTkgAexOFchron29,sampleType,NA,8
CO13CAHN,none,NA,chronData,cdR64EpTSRg4pczSomRchron1,depthUTh,mm,8
CO13CAHN,none,NA,chronData,cdR7i8P8xeZAjPPinBkchron2,SampleID,unitless,8
CO13CAHN,none,NA,chronData,cdRguqXHiCycjkdTWl3chron3,weight,mg,8
CO13CAHN,none,NA,chronData,cdR21kE69aQAU5fiSuIchron4,U238,ppb,8
CO13CAHN,none,NA,chronData,cdRjR2UN3AYuFMYqVVDchron5,U238_error,ppb,8
CO13CAHN,none,NA,chronData,cdR4sibKPMBsqVcYDlBchron6,Th232,ppt,8
CO13CAHN,none,NA,chronData,cdR06wVKBrbV1NKHuMHchron7,Th232_error,ppt,8
CO13CAHN,none,NA,chronData,cdRvU6PXSedKCafotYIchron8,d234U,(ratio),8
CO13CAHN,none,NA,chronData,cdRmrBeLnCx7KbiouT2chron9,d234U_error,unitless,8
CO13CAHN,none,NA,chronData,cdRku5NbkJz7YUhliKEchron10,Th230_U238activity,activity,8
CO13CAHN,none,NA,chronData,cdRMnnbAZy0VGmw1ehmchron11,U_Thactivity_error,unitless,8
CO13CAHN,none,NA,chronData,cdRFz1Ozo026TXBAOpAchron12,Th230_Th232ratio,ppm,8
CO13CAHN,none,NA,chronData,cdRB6OvJFmxDIiTQZy8chron13,Thratio_error,ppm,8
CO13CAHN,none,NA,chronData,cdRktP4k9AjVgIENp5Jchron14,AgeUncorrected,years ago,8
CO13CAHN,none,NA,chronData,cdRI3UFxVMdJBQFMIPXchron15,AgeUncorr_error,yrs,8
CO13CAHN,none,NA,chronData,cdRsMdgP5WhFJy6XcPfchron17,AgeCorr_error,yrs,8
CO13CAHN,none,NA,chronData,cdRpePRQztdh8cZP4pwchron18,dU234initial,(ratio),8
CO13CAHN,none,NA,chronData,cdRCrh68fxAvoYkDqZNchron19,dU234i_error,unitless,8
CO13CAHN,none,NA,chronData,cdRILPLBUTWyGaC3l85chron20,depthtopPb,mm,8
CO13CAHN,none,NA,chronData,cdRnxHbm35bpNCeECl5chron21,depthbottomPb,mm,8
CO13CAHN,none,NA,chronData,cdRUwdGeKwMcBxb5Qe4chron22,Pb210excess,dpm/g,8
CO13CAHN,none,NA,chronData,cdRqYVcZmGO0J501pgMchron23,Pb210_error,dpm/g,8
CO13CAHN,none,NA,chronData,cdR3depcOWkDYxlH0GGchron24,depthtopCs,mm,8
CO13CAHN,none,NA,chronData,cdRc5O0fcMpRF96zIpMchron25,depthbottomCs,mm,8
CO13CAHN,none,NA,chronData,cdRJVSav2dmnSyeAOfRchron26,Cs137gamactivity,Bq/g,8
CO13CAHN,none,NA,chronData,cdRAWSouwBaNNogStoSchron27,Cs137_error,Bq/g,8
CO13CAHN,none,NA,chronData,cdRzKKcFL4NHJZLj9kOchron28,bandAge,yr CE,8
CO13CAHN,none,NA,chronData,cdR8euR1abp6oDryUqxchron29,sampleType,unitless,8
CO13CAHN,none,NA,chronData,cdRYQEHbHoFxTxRgFovchron1,depthUTh,mm,8
CO13CAHN,none,NA,chronData,cdRGM2yHtuFQabGGMLYchron2,SampleID,unitless,8
CO13CAHN,none,NA,chronData,cdRU8ixyBm5bayMgSpAchron3,weight,mg,8
CO13CAHN,none,NA,chronData,cdRW1yAcpNsxdDXN0CIchron4,U238,ppb,8
CO13CAHN,none,NA,chronData,cdRPsJTk3c5UXVcF54achron5,U238_error,ppb,8
CO13CAHN,none,NA,chronData,cdRTCb3eyS3LtBcEAEnchron6,Th232,ppt,8
CO13CAHN,none,NA,chronData,cdRQufPl9FJUlvjV3F4chron7,Th232_error,ppt,8
CO13CAHN,none,NA,chronData,cdRX4Yal2mmyNJvPKmKchron8,d234U,(ratio),8
CO13CAHN,none,NA,chronData,cdRbJDiO5EkCevIz4oachron9,d234U_error,unitless,8
CO13CAHN,none,NA,chronData,cdRAuoEqpal4dsEnTTbchron10,Th230_U238activity,activity,8
CO13CAHN,none,NA,chronData,cdRaSxNKMSicqORh19Ochron11,U_Thactivity_error,unitless,8
CO13CAHN,none,NA,chronData,cdRFfi7G3MZTDyFhH9Dchron12,Th230_Th232ratio,ppm,8
CO13CAHN,none,NA,chronData,cdRaT9Wu8eYa9sVyemXchron13,Thratio_error,ppm,8
CO13CAHN,none,NA,chronData,cdRRPxsagwQH0URikInchron14,AgeUncorrected,years ago,8
CO13CAHN,none,NA,chronData,cdRT7mIe6ngsyLplRZqchron15,AgeUncorr_error,yrs,8
CO13CAHN,none,NA,chronData,cdRzd91BDOT363zhcY9chron17,AgeCorr_error,yrs,8
CO13CAHN,none,NA,chronData,cdRvTdgAWLvVSRP5fI1chron18,dU234initial,(ratio),8
CO13CAHN,none,NA,chronData,cdR4wE1hleSQgTDXSipchron19,dU234i_error,unitless,8
CO13CAHN,none,NA,chronData,cdR2mfpEroxNz3Ep5zCchron20,depthtopPb,mm,8
CO13CAHN,none,NA,chronData,cdRGUoXAmOJzW9jNDwzchron21,depthbottomPb,mm,8
CO13CAHN,none,NA,chronData,cdRthYoCv8Cm50dQmXOchron22,Pb210excess,dpm/g,8
CO13CAHN,none,NA,chronData,cdRD1xYVLLpukehQDXUchron23,Pb210_error,dpm/g,8
CO13CAHN,none,NA,chronData,cdRH1gMwnmZ4vi5pHHVchron24,depthtopCs,mm,8
CO13CAHN,none,NA,chronData,cdRWjPeWgyW66cJ0qjdchron25,depthbottomCs,mm,8
CO13CAHN,none,NA,chronData,cdRNWEbV3dVO2KklmGschron26,Cs137gamactivity,Bq/g,8
CO13CAHN,none,NA,chronData,cdRq4BDQZARICWRFgl0chron27,Cs137_error,Bq/g,8
CO13CAHN,none,NA,chronData,cdRG6K596whQCT59nRgchron28,bandAge,yr CE,8
CO13CAHN,none,NA,chronData,cdRbuJfWkhuq1laqPuachron29,sampleType,unitless,8
CO13HENG,none,NA,chronData,cdReTdWC2jvU7pv6mJJchron1,depthUTh,mm,8
CO13HENG,none,NA,chronData,cdRniZnWJeXO9q4ZLGAchron2,SampleID,NA,8
CO13HENG,none,NA,chronData,cdRaZ1Die7dbvabG0Iqchron3,weight,mg,8
CO13HENG,none,NA,chronData,cdRACUzhgxWinMbSsEfchron4,U238,ppb,8
CO13HENG,none,NA,chronData,cdRILYEo0uU9iy3I42ychron5,U238_error,ppb,8
CO13HENG,none,NA,chronData,cdRNmXMa1b8IATDAFGQchron6,Th232,ppt,8
CO13HENG,none,NA,chronData,cdR2ODzPKUcbxUCYezychron7,Th232_error,ppt,8
CO13HENG,none,NA,chronData,cdRn6HEEl7p6iJmsTEZchron8,d234U,(ratio),8
CO13HENG,none,NA,chronData,cdRmMV3Tycx3U8OxoxUchron9,d234U_error,NA,8
CO13HENG,none,NA,chronData,cdRCSXdNjvjoZmGq9Krchron10,Th230_U238activity,activity,8
CO13HENG,none,NA,chronData,cdR37WgvUiCk0nF3KUbchron11,U_Thactivity_error,NA,8
CO13HENG,none,NA,chronData,cdRtHIseS90aAjrcy4Zchron12,Th230_Th232ratio,ppm,8
CO13HENG,none,NA,chronData,cdRmRRLtM2XjBwLrqAxchron13,Thratio_error,ppm,8
CO13HENG,none,NA,chronData,cdR5edruyNkBJw1hbcbchron14,AgeUncorrected,years ago,8
CO13HENG,none,NA,chronData,cdRHd0A5v2OBcScQoudchron15,AgeUncorr_error,yrs,8
CO13HENG,none,NA,chronData,cdRzjyFQgT7PZvwGwaGchron17,AgeCorr_error,yrs,8
CO13HENG,none,NA,chronData,cdRKCiGlROw57bmvus0chron18,dU234initial,(ratio),8
CO13HENG,none,NA,chronData,cdRqe30q28ITuXGSa4Cchron19,dU234i_error,NA,8
CO13HENG,none,NA,chronData,cdRYo9ofOurXAzAkw27chron20,depthtopPb,mm,8
CO13HENG,none,NA,chronData,cdRmQVDGkIfjv2OH34Nchron21,depthbottomPb,mm,8
CO13HENG,none,NA,chronData,cdRLF7BV1uHbblkgEx2chron22,Pb210excess,dpm/g,8
CO13HENG,none,NA,chronData,cdRLOV870eH5VlWMrpGchron23,Pb210_error,dpm/g,8
CO13HENG,none,NA,chronData,cdRUBgNEnshr8neQq2Bchron24,depthtopCs,mm,8
CO13HENG,none,NA,chronData,cdR89asF8LwsEsR0Q4vchron25,depthbottomCs,mm,8
CO13HENG,none,NA,chronData,cdRjJwR5AX43F7gYzKQchron26,Cs137gamactivity,Bq/g,8
CO13HENG,none,NA,chronData,cdR73NQM8ljIZEx5JF2chron27,Cs137_error,Bq/g,8
CO13HENG,none,NA,chronData,cdRJXWc5x7UprEy50Owchron28,bandAge,yr CE,8
CO13HENG,none,NA,chronData,cdRGdeqDtZciZLrUBmPchron29,sampleType,NA,8
CO13HENG,none,NA,chronData,cdRrHRe16EufJQU5maqchron1,depthUTh,mm,8
CO13HENG,none,NA,chronData,cdRVy90WhCMKIm05Q2Kchron2,SampleID,NA,8
CO13HENG,none,NA,chronData,cdREtFNW6cguSHjY5f9chron3,weight,mg,8
CO13HENG,none,NA,chronData,cdR1yhpAtIriMFJoMxechron4,U238,ppb,8
CO13HENG,none,NA,chronData,cdRCO7pQIwKENtOq4HQchron5,U238_error,ppb,8
CO13HENG,none,NA,chronData,cdR2JIlP65IqjCkuGnrchron6,Th232,ppt,8
CO13HENG,none,NA,chronData,cdRqTnSaHCzz3B8c49wchron7,Th232_error,ppt,8
CO13HENG,none,NA,chronData,cdR2jcXHY99pm26o8Irchron8,d234U,(ratio),8
CO13HENG,none,NA,chronData,cdRfQH8XQ6l85QmbO9gchron9,d234U_error,NA,8
CO13HENG,none,NA,chronData,cdRAqZQfaUTteMTpRLdchron10,Th230_U238activity,activity,8
CO13HENG,none,NA,chronData,cdRex1jafxWwaOd16dgchron11,U_Thactivity_error,NA,8
CO13HENG,none,NA,chronData,cdRYoVGg8yIsP8plPMmchron12,Th230_Th232ratio,ppm,8
CO13HENG,none,NA,chronData,cdRFLbTMUfJISZviH8Achron13,Thratio_error,ppm,8
CO13HENG,none,NA,chronData,cdRQavNDVldeI2NUszEchron14,AgeUncorrected,years ago,8
CO13HENG,none,NA,chronData,cdRagFRCSpdpnrzSsFychron15,AgeUncorr_error,yrs,8
CO13HENG,none,NA,chronData,cdRywxkv4o5k5O0SLtrchron17,AgeCorr_error,yrs,8
CO13HENG,none,NA,chronData,cdRXwv9k4B0aQhun3A9chron18,dU234initial,(ratio),8
CO13HENG,none,NA,chronData,cdRJb2AGSP61SlSjokichron19,dU234i_error,NA,8
CO13HENG,none,NA,chronData,cdRSvFw1LQVZBTMeMk4chron20,depthtopPb,mm,8
CO13HENG,none,NA,chronData,cdRd19o5vT6fwx0zQUcchron21,depthbottomPb,mm,8
CO13HENG,none,NA,chronData,cdR7jxSFah1RtS0myCAchron22,Pb210excess,dpm/g,8
CO13HENG,none,NA,chronData,cdRcqRCIhvNktCuAUWpchron23,Pb210_error,dpm/g,8
CO13HENG,none,NA,chronData,cdRho0u659SkJMaO9RAchron24,depthtopCs,mm,8
CO13HENG,none,NA,chronData,cdRto8kdRQtUY6vKuvfchron25,depthbottomCs,mm,8
CO13HENG,none,NA,chronData,cdRLGRaQJkh1EUjUE0mchron26,Cs137gamactivity,Bq/g,8
CO13HENG,none,NA,chronData,cdRhGlyQpx0X5NaS57ychron27,Cs137_error,Bq/g,8
CO13HENG,none,NA,chronData,cdRyE8e3b9t6ilu6jZzchron28,bandAge,yr CE,8
CO13HENG,none,NA,chronData,cdRd0eelQsy80wm4ffQchron29,sampleType,NA,8
CO13HENG,none,NA,chronData,cdR2s4gkm7R7vEKl7Bdchron1,depthUTh,mm,8
CO13HENG,none,NA,chronData,cdRAqYjvPd53OoDSpXKchron2,SampleID,NA,8
CO13HENG,none,NA,chronData,cdRVrIi3d4jW1Y7MzYWchron3,weight,mg,8
CO13HENG,none,NA,chronData,cdR5Xr4y49Fq3UIYtQochron4,U238,ppb,8
CO13HENG,none,NA,chronData,cdRVelnVNHByJoyCGCAchron5,U238_error,ppb,8
CO13HENG,none,NA,chronData,cdRwplfinrBHYeA0Usnchron6,Th232,ppt,8
CO13HENG,none,NA,chronData,cdRWyC9EJ3xd606G5CQchron7,Th232_error,ppt,8
CO13HENG,none,NA,chronData,cdRtfDnzEWSwGeidtZBchron8,d234U,(ratio),8
CO13HENG,none,NA,chronData,cdRVcBfpGoNeGiqg6H7chron9,d234U_error,NA,8
CO13HENG,none,NA,chronData,cdR1sQqTSPc7ItnmBjnchron10,Th230_U238activity,activity,8
