dataset,flag,compilations,tsid,variableName,units,n_values,min,max
GeoB1032_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1032_3_TS_001,age,yr ka,104,5.81503929516602,136.240454341687
GeoB1032_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1032_3_TS_003,age,yr ka,104,5.8118798828125,136.303712661743
GeoB1032_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1032_3_TS_007,age,yr ka,104,6,368
GeoB1034_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1034_3_TS_001,age,yr ka,210,6.83399554724121,135.749266469233
GeoB1034_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1034_3_TS_003,age,yr ka,210,6.85413012695312,135.784139850616
GeoB1034_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1034_3_TS_006,age,yr ka,210,7,902.67
GeoB1035_4.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1035_4_TS_001,age,yr ka,111,4.03313351794434,135.034330441207
GeoB1035_4.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1035_4_TS_003,age,yr ka,111,4.03171997070313,135.001517467499
GeoB1035_4.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1035_4_TS_007,age,yr ka,111,6,423
GeoB1041_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1041_3_TS_001,age,yr ka,227,8.61924567431641,136.438843146014
GeoB1041_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1041_3_TS_003,age,yr ka,227,8.64397998046875,136.457270662308
GeoB1041_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1041_3_TS_006,age,yr ka,227,7.26,586
GeoB1101_5.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1101_5_TS_001,age,yr ka,155,0.454345845961809,134.435477587928
GeoB1101_5.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1101_5_TS_003,age,yr ka,155,0.457058502197266,134.350588714025
GeoB1101_5.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1101_5_TS_007,age,yr ka,155,0.38,540.8
GeoB1105_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1105_3_TS_001,age,yr ka,304,3.85260321088409,132.778558194392
GeoB1105_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1105_3_TS_003,age,yr ka,304,3.9037900390625,132.881484549278
GeoB1105_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1105_3_TS_008,age,yr ka,304,0.24,366.85
GeoB1105_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1105_3_TS_017,age,yr ka,304,0.24,274.63
GeoB1112_4.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1112_4_TS_001,age,yr ka,140,0.95567441323185,140.423477981987
GeoB1112_4.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1112_4_TS_003,age,yr ka,140,0.941433990478516,140.182897233009
GeoB1112_4.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1112_4_TS_006,age,yr ka,140,1.71,271
GeoB1112_4.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1112_4_TS_014,age,yr ka,140,1,271
GeoB1113_4.Sarnthein.2004,kiloyear/megayear axis,PalMod,GeoB1113_4_TS_001,age,yr ka,216,2.77329758461761,110.383920158449
GeoB1113_4.Sarnthein.2004,kiloyear/megayear axis,PalMod,GeoB1113_4_TS_003,age,yr ka,216,2.744875,110.39661417232401
GeoB1115_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1115_3_TS_001,age,yr ka,160,0.401555198206007,128.0947809217
GeoB1115_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1115_3_TS_003,age,yr ka,160,0.409393508911133,128.039184592485
GeoB1115_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1115_3_TS_008,age,yr ka,160,0.27,269
GeoB1117_2.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1117_2_TS_001,age,yr ka,222,0.540799045764387,132.853395600966
GeoB1117_2.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1117_2_TS_003,age,yr ka,222,0.541465484619141,132.861848878384
GeoB1117_2.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1117_2_TS_006,age,yr ka,222,2.61,362
GeoB1118_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1118_3_TS_001,age,yr ka,171,3.94477846606445,135.656723897868
GeoB1118_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1118_3_TS_003,age,yr ka,171,3.92252502441406,135.760747820854
GeoB1118_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1118_3_TS_008,age,yr ka,171,0.38,387.2
GeoB1211_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1211_3_TS_001,age,yr ka,168,8.10822273535156,133.9595336533
GeoB1211_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1211_3_TS_003,age,yr ka,168,8.09398510742188,133.90783873024
GeoB1211_3.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1211_3_TS_007,age,yr ka,168,6,1125
GeoB1214_1.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1214_1_TS_001,age,yr ka,103,1.3458780794518,135.403093925603
GeoB1214_1.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1214_1_TS_003,age,yr ka,103,1.390375,135.504091335297
GeoB1214_1.Bickert.2012,kiloyear/megayear axis,PalMod,GeoB1214_1_TS_007,age,yr ka,103,2.25,441.33
GeoB12605_3.Kuhnert.Palmod.2014,kiloyear/megayear axis,PalMod,GeoB12605_3_TS_001,age,yr ka,243,1.47478751580434,10.0668495041327
GeoB12605_3.Kuhnert.Palmod.2014,kiloyear/megayear axis,PalMod,GeoB12605_3_TS_003,age,yr ka,243,1.47348783779144,10.0873607216155
GeoB12605_3.Kuhnert.Palmod.2014,kiloyear/megayear axis,PalMod,GeoB12605_3_TS_006,age,yr ka,243,1.335,9.71
GeoB12610_2.RIPPERT.2015,kiloyear/megayear axis,PalMod,GeoB12610_2_TS_001,age,yr ka,165,0.50420323828125,33.4914391855244
GeoB12610_2.RIPPERT.2015,kiloyear/megayear axis,PalMod,GeoB12610_2_TS_003,age,yr ka,165,0.513328979492188,33.4059176011848
GeoB12610_2.RIPPERT.2015,kiloyear/megayear axis,PalMod,GeoB12610_2_TS_006,age,yr ka,165,0.35,33.29
GeoB12615_4.Romahn.Palmod.2014,kiloyear/megayear axis,PalMod,GeoB12615_4_TS_001,age,yr ka,139,0.824313628967285,35.8882088496735
GeoB12615_4.Romahn.Palmod.2014,kiloyear/megayear axis,PalMod,GeoB12615_4_TS_003,age,yr ka,139,0.819578002929688,36.1955241284847
GeoB12615_4.Romahn.Palmod.2014,kiloyear/megayear axis,PalMod,GeoB12615_4_TS_006,age,yr ka,139,0.766,38.79
GeoB13731_1.Fink.2013,kiloyear/megayear axis,PalMod,GeoB13731_1_TS_001,age,yr ka,85,-0.747022119169712,22.276276584921
GeoB13731_1.Fink.2013,kiloyear/megayear axis,PalMod,GeoB13731_1_TS_003,age,yr ka,85,-0.782695495605469,22.3428787435293
GeoB1505_2.Zabel.2002,kiloyear/megayear axis,PalMod,GeoB1505_2_TS_001,age,yr ka,162,7.02659360498047,135.289066659362
GeoB1505_2.Zabel.2002,kiloyear/megayear axis,PalMod,GeoB1505_2_TS_003,age,yr ka,162,7.01728002929688,135.348611024857
GeoB1505_2.Zabel.2002,kiloyear/megayear axis,PalMod,GeoB1505_2_TS_006,age,yr ka,162,1.13,417
GeoB16202_2.Venancio.2018,kiloyear/megayear axis,PalMod,GeoB16202_2_TS_001,age,yr ka,153,1.18597229888916,23.1479187360605
GeoB16202_2.Venancio.2018,kiloyear/megayear axis,PalMod,GeoB16202_2_TS_003,age,yr ka,153,1.206625,23.1321116870528
GeoB16202_2.Venancio.2018,kiloyear/megayear axis,PalMod,GeoB16202_2_TS_006,age,yr ka,153,1.438,23.217
GeoB16202_2.Venancio.2018,kiloyear/megayear axis,PalMod,GeoB16202_2_TS_011,age,yr ka,153,1.141,23.921
GeoB16202_2.Venancio.2018,kiloyear/megayear axis,PalMod,GeoB16202_2_TS_013,age,yr ka,153,1.14,23.837
GeoB16203_1.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16203_1_TS_001,age,yr ka,124,1.38784076916027,14.4440053032611
GeoB16203_1.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16203_1_TS_003,age,yr ka,124,1.38139649391174,14.4151192361255
GeoB16203_1.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16203_1_TS_006,age,yr ka,124,1.472,14.486
GeoB16205_4.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16205_4_TS_001,age,yr ka,59,1.72808605569363,14.2180175379815
GeoB16205_4.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16205_4_TS_003,age,yr ka,59,1.73785372924805,14.2296520402843
GeoB16205_4.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16205_4_TS_006,age,yr ka,59,1.181,14.195
GeoB16206_1.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16206_1_TS_001,age,yr ka,247,1.08657291149902,28.8700447513043
GeoB16206_1.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16206_1_TS_003,age,yr ka,247,1.05608001708984,28.8733020030856
GeoB16206_1.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16206_1_TS_006,age,yr ka,247,0.833,28.864
GeoB16206_1.Voigt.2017,kiloyear/megayear axis,PalMod,GeoB16206_1_TS_011,age,yr ka,247,8.291,28.008
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_001,age,yr ka,351,12.6288835027876,40.5726994352103
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_003,age,yr ka,351,12.6567981910706,40.6745509618498
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_006,age,yr ka,351,12.797,25.115
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_011,age,yr ka,351,14.11,21.92
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_014,age,yr ka,351,12.772,48.934
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_017,age,yr ka,351,12.889,33.357
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_019,age,yr ka,351,12.772,48.934
GeoB16224_1.Crivellari.2019,kiloyear/megayear axis,PalMod,GeoB16224_1_TS_022,age,yr ka,351,12.772,48.934
GeoB16602.Huang.2018,kiloyear/megayear axis,PalMod,GeoB16602_TS_001,age,yr ka,1274,2.8965507074585,497.260924581953
GeoB16602.Huang.2018,kiloyear/megayear axis,PalMod,GeoB16602_TS_003,age,yr ka,1274,2.87449045944214,497.182799620021
GeoB16602.Huang.2018,kiloyear/megayear axis,PalMod,GeoB16602_TS_006,age,yr ka,1274,0.59,511.4
GeoB16602.Huang.2018,kiloyear/megayear axis,PalMod,GeoB16602_TS_010,age,yr ka,1274,0.59,426.56
GeoB16602.Huang.2018,kiloyear/megayear axis,PalMod,GeoB16602_TS_013,age,yr ka,1274,0.59,512.07
GeoB1710_3.Volbers.2011,kiloyear/megayear axis,lipdverseTest; PalMod,GeoB1710_3_TS_001,age,yr ka,426,1.66567817693496,131.17423543882
GeoB1710_3.Volbers.2011,kiloyear/megayear axis,lipdverseTest; PalMod,GeoB1710_3_TS_003,age,yr ka,426,1.69947998046875,131.250506019851
GeoB1710_3.Volbers.2011,kiloyear/megayear axis,lipdverseTest; PalMod,GeoB1710_3_TS_009,age,yr ka,426,2.6,245
GeoB1711_4.Little.2002,kiloyear/megayear axis,PalMod,GeoB1711_4_TS_001,age,yr ka,435,4.46093706640625,134.407095044335
GeoB1711_4.Little.2002,kiloyear/megayear axis,PalMod,GeoB1711_4_TS_003,age,yr ka,435,4.44555981445313,134.651374225702
GeoB1711_4.Little.2002,kiloyear/megayear axis,PalMod,GeoB1711_4_TS_007,age,yr ka,435,0.4,135
GeoB1720_2.Dickson.2009,kiloyear/megayear axis,PalMod,GeoB1720_2_TS_001,age,yr ka,80,0.749169535690308,47.0200370085859
GeoB1720_2.Dickson.2009,kiloyear/megayear axis,PalMod,GeoB1720_2_TS_003,age,yr ka,80,0.836418518066406,46.7681982929853
GeoB1720_2.Dickson.2009,kiloyear/megayear axis,PalMod,GeoB1720_2_TS_006,age,yr ka,80,0.77,47.55
GeoB17426_3.Hollstein.2020,kiloyear/megayear axis,lipdverseTest; PalMod,GeoB17426_3_TS_001,age,yr ka,246,0.760708536743164,131.169276063968
GeoB17426_3.Hollstein.2020,kiloyear/megayear axis,lipdverseTest; PalMod,GeoB17426_3_TS_003,age,yr ka,246,0.748214996337891,131.142598906653
GeoB17426_3.Hollstein.2020,kiloyear/megayear axis,lipdverseTest; PalMod,GeoB17426_3_TS_006,age,yr ka,246,0.64,209.25
GeoB18131_1.Wang.2019,kiloyear/megayear axis,PalMod,GeoB18131_1_TS_001,age,yr ka,169,0.121502095552765,130.566676448383
GeoB18131_1.Wang.2019,kiloyear/megayear axis,PalMod,GeoB18131_1_TS_003,age,yr ka,169,0.112580501556396,130.533697458577
GeoB3004_1.Schmiedl.2006,kiloyear/megayear axis,PalMod,GeoB3004_1_TS_001,age,yr ka,202,2.49851855065155,132.159613022539
GeoB3004_1.Schmiedl.2006,kiloyear/megayear axis,PalMod,GeoB3004_1_TS_003,age,yr ka,202,2.51044995117187,132.181194020271
GeoB3004_1.Schmiedl.2006,kiloyear/megayear axis,PalMod,GeoB3004_1_TS_006,age,yr ka,202,0.6,190
GeoB3104_1.Arz.2002,kiloyear/megayear axis,PalMod,GeoB3104_1_TS_001,age,yr ka,203,2.25666743115234,42.2889279637683
GeoB3104_1.Arz.2002,kiloyear/megayear axis,PalMod,GeoB3104_1_TS_003,age,yr ka,203,2.24565490722656,42.1286630946752
GeoB3104_1.Arz.2002,kiloyear/megayear axis,PalMod,GeoB3104_1_TS_006,age,yr ka,203,1.39,46.94
GeoB3104_1.Arz.2002,kiloyear/megayear axis,PalMod,GeoB3104_1_TS_011,age,yr ka,203,1.39,48.17
GeoB3129_1.Weldeab.2005,kiloyear/megayear axis,PalMod,GeoB3129_1_TS_001,age,yr ka,172,1.8998507497797,19.7794756531725
GeoB3129_1.Weldeab.2005,kiloyear/megayear axis,PalMod,GeoB3129_1_TS_003,age,yr ka,172,1.89721120262146,19.7443613898125
GeoB3129_1.Weldeab.2005,kiloyear/megayear axis,PalMod,GeoB3129_1_TS_006,age,yr ka,172,0.17,20.74
GeoB3129_1.Weldeab.2005,kiloyear/megayear axis,PalMod,GeoB3129_1_TS_010,age,yr ka,172,0.46,14.34
GeoB3202_1.Arz.2002,kiloyear/megayear axis,PalMod,GeoB3202_1_TS_001,age,yr ka,99,3.44042368659687,20.5297982011777
GeoB3202_1.Arz.2002,kiloyear/megayear axis,PalMod,GeoB3202_1_TS_003,age,yr ka,99,3.3563030090332,20.5303940258026
GeoB3202_1.Arz.2002,kiloyear/megayear axis,PalMod,GeoB3202_1_TS_006,age,yr ka,99,1.46,54.33
GeoB3302_1.Mohtadi.2004,kiloyear/megayear axis,PalMod,GeoB3302_1_TS_001,age,yr ka,82,5.94784394433594,31.4103556813702
GeoB3302_1.Mohtadi.2004,kiloyear/megayear axis,PalMod,GeoB3302_1_TS_003,age,yr ka,82,5.92913500976563,31.3707316575933
GeoB3302_1.Mohtadi.2004,kiloyear/megayear axis,PalMod,GeoB3302_1_TS_006,age,yr ka,82,12.97,32.68
GeoB3302_1.Mohtadi.2004,kiloyear/megayear axis,PalMod,GeoB3302_1_TS_014,age,yr ka,82,12.94,32.3
GeoB3327_5.Ho.2012,kiloyear/megayear axis,PalMod,GeoB3327_5_TS_001,age,yr ka,180,7.88215264477539,492.605080865279
GeoB3327_5.Ho.2012,kiloyear/megayear axis,PalMod,GeoB3327_5_TS_003,age,yr ka,180,7.883455078125,492.332185017109
GeoB3327_5.Ho.2012,kiloyear/megayear axis,PalMod,GeoB3327_5_TS_006,age,yr ka,180,7.286,513
GeoB3359_3.Romero.2005,kiloyear/megayear axis,PalMod,GeoB3359_3_TS_001,age,yr ka,74,14.7319368376209,23.4837721949887
GeoB3359_3.Romero.2005,kiloyear/megayear axis,PalMod,GeoB3359_3_TS_003,age,yr ka,74,14.7250435323715,23.5177928539639
GeoB3359_3.Romero.2005,kiloyear/megayear axis,PalMod,GeoB3359_3_TS_006,age,yr ka,74,7.156,23.415
GeoB3808_6.Jonkers.2015,kiloyear/megayear axis,PalMod,GeoB3808_6_TS_001,age,yr ka,127,8.54516302685547,137.501958143026
GeoB3808_6.Jonkers.2015,kiloyear/megayear axis,PalMod,GeoB3808_6_TS_003,age,yr ka,127,8.5544951171875,137.414494768226
GeoB3808_6.Jonkers.2015,kiloyear/megayear axis,PalMod,GeoB3808_6_TS_006,age,yr ka,127,7.67,142.97
GeoB3910_2.Jaeschke.2007,kiloyear/megayear axis,PalMod,GeoB3910_2_TS_001,age,yr ka,334,0.127937535773501,46.0839865376734
GeoB3910_2.Jaeschke.2007,kiloyear/megayear axis,PalMod,GeoB3910_2_TS_003,age,yr ka,334,0.1236875,46.0297757493672
GeoB3910_2.Jaeschke.2007,kiloyear/megayear axis,PalMod,GeoB3910_2_TS_006,age,yr ka,334,1.31,62.28
GeoB3910_2.Jaeschke.2007,kiloyear/megayear axis,PalMod,GeoB3910_2_TS_011,age,yr ka,334,0.245,10.699
GeoB3935_2.Schluenz.2002,kiloyear/megayear axis,PalMod,GeoB3935_2_TS_001,age,yr ka,104,5.4124397668457,132.687568598628
GeoB3935_2.Schluenz.2002,kiloyear/megayear axis,PalMod,GeoB3935_2_TS_003,age,yr ka,104,5.41753002929688,132.780583835602
GeoB3935_2.Schluenz.2002,kiloyear/megayear axis,PalMod,GeoB3935_2_TS_006,age,yr ka,104,0.21,176.25
GeoB3935_2.Schluenz.2002,kiloyear/megayear axis,PalMod,GeoB3935_2_TS_008,age,yr ka,104,0.21,176.25
GeoB3938_1.Govin.2014,kiloyear/megayear axis,PalMod,GeoB3938_1_TS_001,age,yr ka,129,7.96236039892578,133.97314474728
GeoB3938_1.Govin.2014,kiloyear/megayear axis,PalMod,GeoB3938_1_TS_003,age,yr ka,129,7.9618701171875,134.097714493513
GeoB3938_1.Govin.2014,kiloyear/megayear axis,PalMod,GeoB3938_1_TS_006,age,yr ka,129,3.5,243.1
GeoB3938_1.Govin.2014,kiloyear/megayear axis,PalMod,GeoB3938_1_TS_008,age,yr ka,129,0.21,244.18
GeoB4216_1.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4216_1_TS_001,age,yr ka,220,6.49537873223877,129.310614285017
GeoB4216_1.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4216_1_TS_003,age,yr ka,220,6.74106005859375,129.469894200352
GeoB4216_1.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4216_1_TS_006,age,yr ka,220,2.04,257
GeoB4223_2.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4223_2_TS_001,age,yr ka,762,2.60706526924705,85.1406386378175
GeoB4223_2.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4223_2_TS_003,age,yr ka,762,2.48527523803711,85.1907987084389
GeoB4223_2.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4223_2_TS_007,age,yr ka,762,0.916,88.438
GeoB4240_2.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4240_2_TS_001,age,yr ka,337,5.19920092236328,70.8528252061053
GeoB4240_2.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4240_2_TS_003,age,yr ka,337,5.20413500976563,70.8647191922069
GeoB4240_2.Freudenthal.2002,kiloyear/megayear axis,PalMod,GeoB4240_2_TS_006,age,yr ka,337,2.426,136
GeoB4411_2.Govin.2014,kiloyear/megayear axis,PalMod,GeoB4411_2_TS_001,age,yr ka,149,7.52427200097656,131.286949543781
GeoB4411_2.Govin.2014,kiloyear/megayear axis,PalMod,GeoB4411_2_TS_003,age,yr ka,149,7.524580078125,131.433271510988
GeoB4411_2.Govin.2014,kiloyear/megayear axis,PalMod,GeoB4411_2_TS_006,age,yr ka,149,6,252.6
GeoB4901_8.Kallweit.2012,kiloyear/megayear axis,PalMod,GeoB4901_8_TS_001,age,yr ka,435,0.52439862909317,131.618443122442
GeoB4901_8.Kallweit.2012,kiloyear/megayear axis,PalMod,GeoB4901_8_TS_003,age,yr ka,435,0.519592010498047,131.83923535614
GeoB4901_8.Kallweit.2012,kiloyear/megayear axis,PalMod,GeoB4901_8_TS_012,age,yr ka,435,2.9,34.54
GeoB4905_4.Weldeab.Palmod.2005,kiloyear/megayear axis,PalMod,GeoB4905_4_TS_001,age,yr ka,266,0.560916732799634,21.3851339954908
GeoB4905_4.Weldeab.Palmod.2005,kiloyear/megayear axis,PalMod,GeoB4905_4_TS_003,age,yr ka,266,0.545993366241455,21.3684687180387
GeoB4905_4.Weldeab.Palmod.2005,kiloyear/megayear axis,PalMod,GeoB4905_4_TS_006,age,yr ka,266,0.06,21.77
GeoB5844_2.Arz.Palmod.2003,kiloyear/megayear axis,PalMod,GeoB5844_2_TS_001,age,yr ka,88,0.439259138322234,21.4883864224832
GeoB5844_2.Arz.Palmod.2003,kiloyear/megayear axis,PalMod,GeoB5844_2_TS_003,age,yr ka,88,0.464429489135742,21.5088654316939
GeoB5844_2.Arz.Palmod.2003,kiloyear/megayear axis,PalMod,GeoB5844_2_TS_006,age,yr ka,88,0.8132,21.0142
GeoB5844_2.Arz.Palmod.2003,kiloyear/megayear axis,PalMod,GeoB5844_2_TS_011,age,yr ka,88,0.5903,20.9785
GeoB5901_2.Schirrmacher.2019,kiloyear/megayear axis,PalMod,GeoB5901_2_TS_001,age,yr ka,356,1.47171316166496,10.1008493881761
GeoB5901_2.Schirrmacher.2019,kiloyear/megayear axis,PalMod,GeoB5901_2_TS_003,age,yr ka,356,1.44744604110718,10.1116896673441
GeoB5901_2.Schirrmacher.2019,kiloyear/megayear axis,PalMod,GeoB5901_2_TS_006,age,yr ka,356,1.13,9.92
GeoB5901_2.Schirrmacher.2019,kiloyear/megayear axis,PalMod,GeoB5901_2_TS_009,age,yr ka,356,1.83,6.18
GeoB6211_2.Voigt.2015,kiloyear/megayear axis,PalMod,GeoB6211_2_TS_001,age,yr ka,698,1.17142651940918,20.0916260414848
GeoB6211_2.Voigt.2015,kiloyear/megayear axis,PalMod,GeoB6211_2_TS_003,age,yr ka,698,1.17090502929688,20.0578860642165
GeoB6211_2.Voigt.2015,kiloyear/megayear axis,PalMod,GeoB6211_2_TS_006,age,yr ka,698,0,18.999
GeoB6211_2.Voigt.2015,kiloyear/megayear axis,PalMod,GeoB6211_2_TS_013,age,yr ka,698,1.185,19.3
GeoB6211_2.Voigt.2015,kiloyear/megayear axis,PalMod,GeoB6211_2_TS_019,age,yr ka,698,0.221,14.086
GeoB6518_1.Rampen.2012,kiloyear/megayear axis,PalMod,GeoB6518_1_TS_001,age,yr ka,144,0.0069812305742763,36.7612217630323
GeoB6518_1.Rampen.2012,kiloyear/megayear axis,PalMod,GeoB6518_1_TS_003,age,yr ka,144,0.0413929605484009,36.7910570231608
GeoB6518_1.Rampen.2012,kiloyear/megayear axis,PalMod,GeoB6518_1_TS_006,age,yr ka,144,0.03,19.498
GeoB6518_1.Rampen.2012,kiloyear/megayear axis,PalMod,GeoB6518_1_TS_010,age,yr ka,144,0.03,42.79
GeoB7010_2.Govin.2014,kiloyear/megayear axis,PalMod,GeoB7010_2_TS_001,age,yr ka,219,0.524361883655071,85.7041807540941
GeoB7010_2.Govin.2014,kiloyear/megayear axis,PalMod,GeoB7010_2_TS_003,age,yr ka,219,0.524070983886719,85.6953200173982
GeoB7010_2.Govin.2014,kiloyear/megayear axis,PalMod,GeoB7010_2_TS_006,age,yr ka,219,2.7,103.9
GeoB7011_1.Govin.2014,kiloyear/megayear axis,PalMod,GeoB7011_1_TS_001,age,yr ka,52,97.9371424375,136.282154725715
GeoB7011_1.Govin.2014,kiloyear/megayear axis,PalMod,GeoB7011_1_TS_003,age,yr ka,52,97.94880078125,136.270331143379
GeoB7011_1.Govin.2014,kiloyear/megayear axis,PalMod,GeoB7011_1_TS_006,age,yr ka,52,81.9,151.3
GeoB7165_1.Mohtadi.2008,kiloyear/megayear axis,PalMod,GeoB7165_1_TS_001,age,yr ka,228,14.3455158007812,21.4717944412789
GeoB7165_1.Mohtadi.2008,kiloyear/megayear axis,PalMod,GeoB7165_1_TS_003,age,yr ka,228,14.335,21.4576099481583
GeoB7165_1.Mohtadi.2008,kiloyear/megayear axis,PalMod,GeoB7165_1_TS_006,age,yr ka,228,6.52,22.28
GeoB7186_3.Mohtadi.2007,kiloyear/megayear axis,PalMod,GeoB7186_3_TS_001,age,yr ka,121,0.157828375632644,2.55478502657731
GeoB7186_3.Mohtadi.2007,kiloyear/megayear axis,PalMod,GeoB7186_3_TS_003,age,yr ka,121,0.140689498901367,2.57915645882487
GeoB7186_3.Mohtadi.2007,kiloyear/megayear axis,PalMod,GeoB7186_3_TS_006,age,yr ka,121,0.01154,2.1675
GeoB7702_3.Castaneda.Palmod.2010,kiloyear/megayear axis,PalMod,GeoB7702_3_TS_001,age,yr ka,115,0.0828316804857254,26.3961155915663
GeoB7702_3.Castaneda.Palmod.2010,kiloyear/megayear axis,PalMod,GeoB7702_3_TS_003,age,yr ka,115,0.0678329010009766,26.4080521458368
GeoB7702_3.Castaneda.Palmod.2010,kiloyear/megayear axis,PalMod,GeoB7702_3_TS_006,age,yr ka,115,0.142,26.617
GeoB7920_2.Tjallingii.2008,kiloyear/megayear axis,PalMod,GeoB7920_2_TS_001,age,yr ka,322,0.461560648608088,110.273185364814
GeoB7920_2.Tjallingii.2008,kiloyear/megayear axis,PalMod,GeoB7920_2_TS_003,age,yr ka,322,0.450572998046875,110.258260217376
GeoB7920_2.Tjallingii.2008,kiloyear/megayear axis,PalMod,GeoB7920_2_TS_006,age,yr ka,322,0.52,117.885
GeoB7926_2.Romero.2008,kiloyear/megayear axis,PalMod,GeoB7926_2_TS_001,age,yr ka,626,0.787903796142578,24.4795139760468
GeoB7926_2.Romero.2008,kiloyear/megayear axis,PalMod,GeoB7926_2_TS_003,age,yr ka,626,0.774783508300781,24.4602343939818
GeoB8331_4.Leduc.2010,kiloyear/megayear axis,PalMod,GeoB8331_4_TS_001,age,yr ka,99,0.0223956662784591,3.15088576180739
GeoB8331_4.Leduc.2010,kiloyear/megayear axis,PalMod,GeoB8331_4_TS_003,age,yr ka,99,0.0140267519950867,3.1222952247559
GeoB8331_4.Leduc.2010,kiloyear/megayear axis,PalMod,GeoB8331_4_TS_006,age,yr ka,99,0.012,3.039
GeoB9307_3.SchefuSS.2011,kiloyear/megayear axis,PalMod,GeoB9307_3_TS_001,age,yr ka,127,0.594952235887051,16.7492139543247
GeoB9307_3.SchefuSS.2011,kiloyear/megayear axis,PalMod,GeoB9307_3_TS_003,age,yr ka,127,0.577506113052368,16.7556582686603
GeoB9307_3.SchefuSS.2011,kiloyear/megayear axis,PalMod,GeoB9307_3_TS_006,age,yr ka,127,0.27,16.947
GeoB9508_5.Bouimetarhan.2013,kiloyear/megayear axis,PalMod,GeoB9508_5_TS_001,age,yr ka,423,0.568584795416087,59.1315416259407
GeoB9508_5.Bouimetarhan.2013,kiloyear/megayear axis,PalMod,GeoB9508_5_TS_003,age,yr ka,423,0.727177263259888,59.1796001189351
