dataSetName,key,value,TSid,compilation
MS11FAPM,environmentInterpretation1_variable,sea surface temperature,MS11FAPM02,hydroclimate2k
MS11FAPM,environmentInterpretation1_variable,sea surface temperature,MS11FAPM03,hydroclimate2k
MS11FAPM,environmentInterpretation1_variable,sea surface temperature,LPD81e7ab491,hydroclimate2k
MS11FAPM,environmentInterpretation1_variable,sea surface temperature,MS11FAPM01,hydroclimate2k
MS11KWFS,environmentInterpretation1_variable,subsurface seawater temperature,MS11KWFS01,hydroclimate2k
MS11SENS,environmentInterpretation1_variable,subsurface seawater temperature,MS11SENS01,hydroclimate2k
MS11SENS,environmentInterpretation1_variable,subsurface seawater temperature,LPD6c1fc0ed6,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,MS14MOLS03,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,MS14MOLS01b,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,MS14MOLS02a,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,MS14MOLS02b,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,LPD599a2ac6f,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,LPD599a2ac64,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,MS14MOLS01a,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,LPD599a2ac6q,hydroclimate2k
MS14MOLS,environmentInterpretation1_variable,sea surface temperature,LPD599a2ac6w,hydroclimate2k
MS15BATP,environmentInterpretation1_variable,subsurface seawater temperature,MS15BATP02,hydroclimate2k
MS15BATP,environmentInterpretation1_variable,subsurface seawater temperature,LPDfc71e6bc2,hydroclimate2k
MS15BATP,environmentInterpretation1_variable,subsurface seawater temperature,MS15BATP01,hydroclimate2k
MS15VIBC,environmentInterpretation1_variable,subsurface seawater temperature,MS14CCBC02,hydroclimate2k
MS15VIBC,environmentInterpretation1_variable,subsurface seawater temperature,LPD08287935h,hydroclimate2k
MS15VIBC,environmentInterpretation1_variable,subsurface seawater temperature,MS14CCBC01a,hydroclimate2k
MS15VIBC,environmentInterpretation1_variable,subsurface seawater temperature,MS14CCBC01b,hydroclimate2k
MS15VIBC,environmentInterpretation1_variable,subsurface seawater temperature,LPD08287935c,hydroclimate2k
MS15VIBC,environmentInterpretation1_variable,subsurface seawater temperature,LPD08287935r,hydroclimate2k
MS15VIBC,environmentInterpretation1_variable,subsurface seawater temperature,MS15VIBC01,hydroclimate2k
MS96LKSS,environmentInterpretation1_variable,sea surface temperature,MS96LKSS02,hydroclimate2k
MS96LKSS,environmentInterpretation1_variable,sea surface temperature,MS96LKSS01,hydroclimate2k
MS99LWSC,environmentInterpretation1_variable,sea surface temperature,MS99LWSC01,hydroclimate2k
MS99LWSC,environmentInterpretation1_variable,sea surface temperature,LPD7311e8295,hydroclimate2k
SS05ROES,environmentInterpretation1_variable,subsurface seawater temperature,Ocean2kHR_112_iso2k,hydroclimate2k
SS05ROES,environmentInterpretation1_variable,subsurface seawater temperature,Ocean2kHR_113_iso2k,hydroclimate2k
SS05ROTN,environmentInterpretation1_variable,subsurface seawater temperature,SS05ROTN02A,hydroclimate2k
SS05ROTN,environmentInterpretation1_variable,subsurface seawater temperature,RYiV0il9NAZ,hydroclimate2k
