qc_name,ts_name,family,role,ownership,nullable_by_curator,cardinality,type,vocab_key,canonical,csm_compilation,csm_field,csm_flat_key,deprecated,n_compilations,n_filled
mostRecentCompilations,paleoData_mostRecentCompilations,mostRecentCompilations,synonym,,,timeseries,character,,paleoData_mostRecentCompilations,,,,FALSE,0,0
nominalResolution,hasResolution_nominal,nominalResolution,synonym,,,timeseries,character,,hasResolution_nominal,,,,FALSE,0,0
ocean,geo_ocean,ocean,synonym,,,dataset,character,,geo_ocean,,,,FALSE,0,0
ocean2,geo_ocean2,ocean2,synonym,,,dataset,character,,geo_ocean2,,,,FALSE,0,0
paleoDataNotes,paleoData_notes,paleoDataNotes,synonym,,,timeseries,character,,paleoData_notes,,,,FALSE,0,0
primaryTimeseries,paleoData_primaryTimeseries,primaryTimeseries,synonym,,,timeseries,character,,paleoData_primaryTimeseries,,,,FALSE,0,0
proxy,paleoData_proxy,proxy,synonym,,,timeseries,character,,paleoData_proxy,,,,FALSE,0,0
proxyDetail,paleoData_proxyDetail,proxyDetail,synonym,,,timeseries,character,,paleoData_proxyDetail,,,,FALSE,0,0
proxyGeneral,paleoData_proxyGeneral,proxyGeneral,synonym,,,timeseries,character,,paleoData_proxyGeneral,,,,FALSE,0,0
pub1_authors,pub1_author,pub*_authors,synonym,,,dataset,author,,pub1_author,,,,FALSE,0,0
pub2_authors,pub2_author,pub*_authors,synonym,,,dataset,author,,pub2_author,,,,FALSE,0,0
pub3_authors,pub3_author,pub*_authors,synonym,,,dataset,author,,pub3_author,,,,FALSE,0,0
seasonGeneral,climateInterpretation1_seasonalityGeneral,seasonGeneral,synonym,,,timeseries,character,,climateInterpretation1_seasonalityGeneral,,,,FALSE,0,0
seasonality,climateInterpretation1_seasonality,seasonality,synonym,,,timeseries,character,,climateInterpretation1_seasonality,,,,FALSE,0,0
secondarySiteName,geo_secondarySiteName,secondarySiteName,synonym,,,dataset,character,,geo_secondarySiteName,,,,FALSE,0,0
sensorSpecies,paleoData_sensorSpecies,sensorSpecies,synonym,,,timeseries,character,,paleoData_sensorSpecies,,,,FALSE,0,0
siteName,geo_siteName,siteName,synonym,,,dataset,character,,geo_siteName,,,,FALSE,0,0
units,paleoData_units,units,synonym,,,timeseries,character,,paleoData_units,,,,FALSE,0,0
variableName,paleoData_variableName,variableName,synonym,,,timeseries,character,,paleoData_variableName,,,,FALSE,0,0
variableType,paleoData_variableType,variableType,synonym,,,timeseries,character,,paleoData_variableType,,,,FALSE,0,0
changelogNotes,,changelogNotes,control,,,,,,,,,,FALSE,16,0
standardizationNotes,,standardizationNotes,control,,,,,,,,,,FALSE,6,0
Additional_NOAA_studies,,Additional_NOAA_studies,unused,,,,,,,,,,FALSE,1,0
NOAA_URL,,NOAA_URL,unused,,,,,,,,,,FALSE,1,0
Temp or Hydro,,Temp or Hydro,unused,,,,,,,,,,FALSE,1,0
climateInterpretation2_interpretationApplies,,climateInterpretation*_interpretationApplies,unused,,,,,,,,,,FALSE,1,0
dataURL/DOI for chronology data only,,dataURL/DOI for chronology data only,unused,,,,,,,,,,FALSE,1,0
environmentInterpretation1_interpretationApplies,environmentInterpretation1_interpretationApplies,environmentInterpretation*_interpretationApplies,unused,,,timeseries,character,,,,,,FALSE,1,0
environmentInterpretation2_interpretationApplies,environmentInterpretation2_interpretationApplies,environmentInterpretation*_interpretationApplies,unused,,,timeseries,character,,,,,,FALSE,1,0
hasIGSN,hasIGSN,hasIGSN,unused,,,timeseries,character,,,,,,FALSE,1,0
holoceneDuration,,holoceneDuration,unused,,,,,,,,,,FALSE,1,0
isotopeInterpretation1_interpretationApplies,,isotopeInterpretation*_interpretationApplies,unused,,,,,,,,,,FALSE,1,0
isotopeInterpretation2_coefficient,isotopeInterpretation2_coefficient,isotopeInterpretation*_coefficient,unused,,,timeseries,numeric,,,,,,FALSE,1,0
isotopeInterpretation2_interpretationApplies,,isotopeInterpretation*_interpretationApplies,unused,,,,,,,,,,FALSE,1,0
isotopeInterpretation3_coefficient,isotopeInterpretation3_coefficient,isotopeInterpretation*_coefficient,unused,,,timeseries,numeric,,,,,,FALSE,1,0
isotopeInterpretation3_fraction,isotopeInterpretation3_fraction,isotopeInterpretation*_fraction,unused,,,timeseries,numeric,,,,,,FALSE,1,0
isotopeInterpretation3_interpretationApplies,,isotopeInterpretation*_interpretationApplies,unused,,,,,,,,,,FALSE,1,0
originalDataURL NOTES!,,originalDataURL NOTES!,unused,,,,,,,,,,FALSE,1,0
paleoData_medianRes12k,,paleoData_medianRes12k,delete,,,,,,,,,,TRUE,10,242607
agesPerKyr,agesPerKyr,agesPerKyr,delete,,,timeseries,numeric,,,,,,TRUE,9,28073
otherAgesPerKyr,otherAgesPerKyr,otherAgesPerKyr,delete,,,timeseries,character,,,,,,TRUE,9,28073
paleoData_meanValue12k,,paleoData_meanValue12k,delete,,,,,,,,,,TRUE,9,176183
hasChron,,hasChron,delete,,,,,,,,,,TRUE,1,1031
hasDepth,,hasDepth,delete,,,,,,,,,,TRUE,1,1031
hasResolution_nominal,,hasResolution_nominal,delete,,,,,,,,,,TRUE,1,285
paleoData_hasUncertainty,,paleoData_hasUncertainty,delete,,,,,,,,,,TRUE,1,7
description,paleoData_description,description,delete,,,timeseries,character,,paleoData_description,,,,TRUE,0,0
paleoData_inCompilation,,paleoData_inCompilation,csm_pending,,,,,,,,,,FALSE,4,1622
